adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_guideline_claim_types,disease_guideline_next_action,disease_guideline_proof_status,disease_guideline_source_ids,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,uri_dry_cough_adult,Acute viral URI with dry cough,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_07c8822f2e39,,True,RX1,RX NOW,BDS003762,FRM0009,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,uri_dry_cough_adult,Acute viral URI with dry cough,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_ba7b7aecc4fe,,True,RX1,RX NOW,BDS003762,FRM0009,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,uri_dry_cough_adult,Acute viral URI with dry cough,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_2e342cd9b742,,True,RX1,RX NOW,BDS003762,FRM0009,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_282a4344c811,,True,RX1,RX NOW,BDS003762,FRM0006,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,common_cold_adult,Common cold / viral URI,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_3b495fb69516,,True,RX1,RX NOW,BDS003762,FRM0015,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,common_cold_adult,Common cold / viral URI,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_9a380a751d8e,,True,RX1,RX NOW,BDS003762,FRM0015,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,disease_strategy; line_of_treatment; no_antibiotic_criteria,symptomatic/supportive care only unless bacterial complication or alternate diagnosis is source-supported,source_backed_no_antibiotic_supportive_care,cdc_common_cold_treatment_2026,common_cold_adult,Common cold / viral URI,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_2e83d6ca78a7,,True,RX1,RX NOW,BDS003762,FRM0015,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,viral_fever_bodyache_adult,Viral fever / body ache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_6ed219ac35ff,,True,RX1,RX NOW,BDS003762,FRM0017,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,viral_fever_bodyache_adult,Viral fever / body ache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_cbebb42ab483,,True,RX1,RX NOW,BDS003762,FRM0017,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN fever/pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,viral_fever_bodyache_adult,Viral fever / body ache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_7abb2312cc4e,,True,RX1,RX NOW,BDS003762,FRM0017,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN headache,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,tension_headache_adult,Tension-type headache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_d1dae1e16218,,True,RX1,RX NOW,BDS003762,FRM0021,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN headache,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,tension_headache_adult,Tension-type headache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_90f33ce80e17,,True,RX1,RX NOW,BDS003762,FRM0021,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
1–2 tabs PO q4–6h PRN headache,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,tension_headache_adult,Tension-type headache,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_ed66ee64d244,,True,RX1,RX NOW,BDS003762,FRM0021,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52
