gap_id,entity_type,entity_id,required_source_priority,status,manual_review,queue_type,source_file,source_runtime_path,affected_products,todo_id,source_id_suggestion,title_query,organization_target,clinical_domain,related_drugs,related_complaints,evidence_needed,preferred_source_type,search_query,priority,review_status,source_url_candidates,notes,missing_item,review_note,coverage_id,source_pack_id,final_verification_status,final_clinical_readiness,final_fast_mode_allowed,final_rx_role,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,exact_evidence_missing,exact_block_reason,exact_next_action,can_show_in_main_builder,can_show_in_peds_page,can_show_in_swaps,catalog_only_reason,pediatric_unlock_status,antibiotic_unlock_status,antiviral_unlock_status,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
GAP_DISEASE_CONSTIPATION,disease,constipation,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[10],,,,,,,,,,,,,,,,,,coverage_6d4576373a51,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DRY_EYE,disease,dry_eye,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[11],,,,,,,,,,,,,,,,,,coverage_bd8a29b1efe8,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_RED_EYE,disease,red_eye,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[12],,,,,,,,,,,,,,,,,,coverage_844a090f0a68,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_BACTERIAL_CONJUNCTIVITIS,disease,bacterial_conjunctivitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[13],,,,,,,,,,,,,,,,,,coverage_66503c3e0b59,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_ALLERGIC_CONJUNCTIVITIS,disease,allergic_conjunctivitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[14],,,,,,,,,,,,,,,,,,coverage_465c273370f4,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_EYELID_BUMP,disease,eyelid_bump,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[15],,,,,,,,,,,,,,,,,,coverage_a635064a0069,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_PTERYGIUM,disease,pterygium,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[16],,,,,,,,,,,,,,,,,,coverage_8a92911eadef,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_TINEA,disease,tinea,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[17],,,,,,,,,,,,,,,,,,coverage_b21b50c73a61,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DERMATITIS,disease,dermatitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[18],,,,,,,,,,,,,,,,,,coverage_2c73e30e416c,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_HERPES_LABIALIS,disease,herpes_labialis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[19],,,,,,,,,,,,,,,,,,coverage_5184615b576c,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,adult_dose_source; disease_strategy_source; duration_source; red_flag_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,manual_review_required_with_exact_reason,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_APHTHOUS_ULCER,disease,aphthous_ulcer,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[20],,,,,,,,,,,,,,,,,,coverage_7588ace540b2,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_URTICARIA,disease,urticaria,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[21],,,,,,,,,,,,,,,,,,coverage_41ae02477c03,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DYSURIA,disease,dysuria,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[22],,,,,,,,,,,,,,,,,,coverage_f78e0fd9b536,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_URINARY_FREQUENCY,disease,urinary_frequency,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[23],,,,,,,,,,,,,,,,,,coverage_0723ea00f993,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_DYSMENORRHEA,disease,dysmenorrhea,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[24],,,,,,,,,,,,,,,,,,coverage_6ba8c720fdc2,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_MIGRAINE_HEADACHE,disease,migraine_headache,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[25],,,,,,,,,,,,,,,,,,coverage_d63dd87320aa,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_VERTIGO,disease,vertigo,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[26],,,,,,,,,,,,,,,,,,coverage_09d44dcea44f,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_MSK_PAIN,disease,msk_pain,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[27],,,,,,,,,,,,,,,,,,coverage_704e6e76e052,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_MINOR_WOUND,disease,minor_wound,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[28],,,,,,,,,,,,,,,,,,coverage_b48ba3c4f439,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_DISEASE_ANIMAL_BITE,disease,animal_bite,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[29],,,,,,,,,,,,,,,,,,coverage_fd847329d6b7,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_TAG_ALLERGY,drug_role_tag,allergy,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[30],35,,,,,,,,,,,,,,,,,coverage_3e43387274be,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_TAG_ANTIBIOTIC,drug_role_tag,antibiotic,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[31],93,,,,,,,,,,,,,,,,,coverage_9e5299549587,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; disease_strategy_source; duration_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
GAP_TAG_COUGH_COLD,drug_role_tag,cough_cold,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[32],48,,,,,,,,,,,,,,,,,coverage_3172d875d9a6,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_TAG_EYE,drug_role_tag,eye,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[33],274,,,,,,,,,,,,,,,,,coverage_f3504e977a28,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_TAG_PAIN_FEVER,drug_role_tag,pain_fever,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[34],78,,,,,,,,,,,,,,,,,coverage_0bdcca4e143e,thai_moph_dms_outpatient,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,disease_strategy_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,false,false,,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
GAP_TAG_PEDIATRIC_CANDIDATE,drug_role_tag,pediatric_candidate,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[35],81,,,,,,,,,,,,,,,,,coverage_cf145558f2cb,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,quality/source queue item requires explicit resolution,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,quality/source queue item requires explicit resolution,true,resolve linked source/evidence queue item
,,,,,,source_todo,data/evidence/source_manifest.todo.json,data/evidence/source_manifest.todo.json:items[0],,SRC_TODO_AERIUS_SYRUP_DESLORATADINE_0_5_MG_1_ML_SOURCE_REVIEWPEDIATRIC,src_aerius_syrup_d,Aerius Syrup [Desloratadine 0.5 mg./1 ml.] source review,official guideline or product label authority,pediatric,BDS001015,,source evidence,guideline,official guideline or product label authority Aerius Syrup [Desloratadine 0.5 mg./1 ml.] source review guideline dose duration,1,pending,,Human review required before adding to source_manifest.json as accepted.,,,coverage_c1a9542da8f3,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Human review required before adding to source_manifest.json as accepted.,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,Human review required before adding to source_manifest.json as accepted.,true,resolve linked source/evidence queue item
,,,,,,source_todo,data/evidence/source_manifest.todo.json,data/evidence/source_manifest.todo.json:items[1],,SRC_TODO_DURAN_SUSPENSION_IBUPROFEN_100_MG_5_ML_SOURCE_REVIEWPEDIATRIC,src_duran_suspensi,Duran Suspension [Ibuprofen 100 mg./5 ml.] source review,official guideline or product label authority,pediatric,BDS001665,,source evidence,guideline,official guideline or product label authority Duran Suspension [Ibuprofen 100 mg./5 ml.] source review guideline dose duration,1,pending,,Human review required before adding to source_manifest.json as accepted.,,,coverage_c97db7ad7825,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Human review required before adding to source_manifest.json as accepted.,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,Human review required before adding to source_manifest.json as accepted.,true,resolve linked source/evidence queue item
,,,,,,source_todo,data/evidence/source_manifest.todo.json,data/evidence/source_manifest.todo.json:items[2],,SRC_TODO_KIT_F_DROPS_PARACETAMOL_60_MG_0_6_ML_SOURCE_REVIEWPEDIATRIC,src_kit_f_drops_pa,Kit-F Drops [Paracetamol 60 mg./0.6 ml.] source review,official guideline or product label authority,pediatric,BDS002407,,source evidence,guideline,official guideline or product label authority Kit-F Drops [Paracetamol 60 mg./0.6 ml.] source review guideline dose duration,1,pending,,Human review required before adding to source_manifest.json as accepted.,,,coverage_986d8863a72f,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Human review required before adding to source_manifest.json as accepted.,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,Human review required before adding to source_manifest.json as accepted.,true,resolve linked source/evidence queue item
,,,,,,source_todo,data/evidence/source_manifest.todo.json,data/evidence/source_manifest.todo.json:items[3],,SRC_TODO_NUROFEN_SUSPENSION_IBUPROFEN_100_MG_5_ML_SOURCE_REVIEWPEDIATRIC,src_nurofen_suspen,Nurofen Suspension [Ibuprofen 100 mg./5 ml.] source review,official guideline or product label authority,pediatric,BDS002845,,source evidence,guideline,official guideline or product label authority Nurofen Suspension [Ibuprofen 100 mg./5 ml.] source review guideline dose duration,1,pending,,Human review required before adding to source_manifest.json as accepted.,,,coverage_3acd3769c8c9,thai_pediatric_dose,manual_review_required_with_exact_reason,manual_review_required,false,,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Human review required before adding to source_manifest.json as accepted.,resolve linked source/evidence queue item,false,true,false,,manual_review_required_with_exact_reason,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,Human review required before adding to source_manifest.json as accepted.,true,resolve linked source/evidence queue item
