product_id,display_name,product_name,composition,generic,form,route,category,manual_review,source_runtime_path,coverage_id,source_pack_id,final_verification_status,final_clinical_readiness,final_fast_mode_allowed,final_rx_role,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,exact_evidence_missing,exact_block_reason,exact_next_action,can_show_in_main_builder,can_show_in_peds_page,can_show_in_swaps,catalog_only_reason,pediatric_unlock_status,antibiotic_unlock_status,antiviral_unlock_status,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
BDS008652,Dicloxilin-500 [Dicloxacillin 500 mg.],Dicloxilin-500,Dicloxacillin 500 mg.,Dicloxacillin,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS008652,coverage_0efbf8cf2b9e,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS008702,Dicloxman-500 [Dicloxacillin 500 mg.],Dicloxman-500,Dicloxacillin 500 mg.,Dicloxacillin,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS008702,coverage_a39a90e4f360,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS001943,Floctil 250 [Azithromycin 250 mg.],Floctil 250,Azithromycin 250 mg.,Azithromycin,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS001943,coverage_41bf6451654c,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Ibiamox 500 mg,Amoxicillin 500 mg.,Amoxicillin,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS002201,coverage_6bb5f6d797b4,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS002447,Klacid MR 500 mg [Clarithromycin 500 mg.],Klacid MR 500 mg,Clarithromycin 500 mg.,Clarithromycin,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS002447,coverage_06cb6881cd2f,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS002692,Meiact tabslet [Cefditoren 100 mg.],Meiact tabslet,Cefditoren 100 mg.,Cefditoren,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS002692,coverage_818a40f17bcf,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS003078,Omnicef 100 mg [Cefdinir 100 mg.],Omnicef 100 mg,Cefdinir 100 mg.,Cefdinir,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS003078,coverage_3d41aacd9f5c,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS008121,Rintacin [Erythromycin stearate 250 mg.],Rintacin,Erythromycin stearate 250 mg.,Erythromycin stearate,tablet,otic,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS008121,coverage_2b6a4443f628,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS003423,Rothricin 150 mg [Roxithromycin 150 mg.],Rothricin 150 mg,Roxithromycin 150 mg.,Roxithromycin,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS003423,coverage_a48f35d3aa7b,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS007976,Roxitop 300 [Roxithromycin 300 mg.],Roxitop 300,Roxithromycin 300 mg.,Roxithromycin,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS007976,coverage_d504b0380499,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS003428,Rulid 150 mg [Roxithromycin 150 mg.],Rulid 150 mg,Roxithromycin 150 mg.,Roxithromycin,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS003428,coverage_05a59ae0add5,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS007007,Uramox 500 [Amoxicillin 500 mg.],Uramox 500,Amoxicillin 500 mg.,Amoxicillin,capsule,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS007007,coverage_d95ee72933ef,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS049776,Zithromax tabslet 250 mg [Azithromycin 250 mg.],Zithromax tabslet 250 mg,Azithromycin 250 mg.,Azithromycin,tablet,oral,antibiotic,True,data/core/drug_short_lookup.json:lookup.BDS049776,coverage_a55a39b4a901,antibiotic_stewardship_aware,blocked_antibiotic_missing_criteria,blocked,false,,,,,,,,,,,,,,,,,,,,product_label_source,antibiotic disease criteria/dose/duration source incomplete,"add accepted antibiotic/RDU guideline with criteria, dose, duration",false,false,false,,not_applicable,blocked_antibiotic_missing_criteria,not_applicable,blocked,keep_blocked_or_manual_review,antibiotic disease criteria/dose/duration source incomplete,true,"add accepted antibiotic/RDU guideline with criteria, dose, duration"
BDS040614,Bakamol 500 mg bottle 100s [Paracetamol 500 mg.],Bakamol 500 mg bottle 100s,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS040614,coverage_9fb3cd5f14a0,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS007047,Cemol 500 mg bottle 100s ฟ้า-ขาว [Paracetamol 500 mg.],Cemol 500 mg bottle 100s ฟ้า-ขาว,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS007047,coverage_d8b2dee5bb62,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS007041,Cemol 500 mg bottle 100s เม็ดกลม [Paracetamol 500 mg.],Cemol 500 mg bottle 100s เม็ดกลม,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS007041,coverage_f5fddfe76f2a,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS046505,Panadol Actifast [Paracetamol 500 mg.],Panadol Actifast,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS046505,coverage_ed8bb0be05c3,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS003109,Para Cap bottle 100s [Paracetamol 500 mg.],Para Cap bottle 100s,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS003109,coverage_1e2821c186cf,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS003595,Sara เม็ดรี กระปุก 100s [Paracetamol 500 mg.],Sara เม็ดรี กระปุก 100s,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS003595,coverage_524431d41889,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS003764,Tylenol 500 mg bottle 100s [Paracetamol 500 mg.],Tylenol 500 mg bottle 100s,Paracetamol 500 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS003764,coverage_98ddb030f56f,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS003748,Tylenol 8 Hour [Paracetamol 650 mg.],Tylenol 8 Hour,Paracetamol 650 mg.,Paracetamol,tablet,oral,analgesic_antipyretic,False,data/core/drug_short_lookup.json:lookup.BDS003748,coverage_3fcb28a2ad5f,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS001010,Aerius tabslet [Desloratadine 5 mg.],Aerius tabslet,Desloratadine 5 mg.,Desloratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS001010,coverage_2b783e02a1f8,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS040029,Alerest [Cetirizine dihydrochloride 10 mg.],Alerest,Cetirizine dihydrochloride 10 mg.,Cetirizine dihydrochloride,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS040029,coverage_037e5fe38bfe,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS007702,Allerax-FC [Hydroxyzine HCl 10 mg.],Allerax-FC,Hydroxyzine HCl 10 mg.,Hydroxyzine HCl,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS007702,coverage_6f854f8ea634,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS040033,Allernix [Loratadine 10 mg.],Allernix,Loratadine 10 mg.,Loratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS040033,coverage_187bb695241a,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS040028,Allora 5 mg [Desloratadine 5 mg.],Allora 5 mg,Desloratadine 5 mg.,Desloratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS040028,coverage_ca060d899b34,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS040630,Bilaxten [Bilastine 20 mg.],Bilaxten,Bilastine 20 mg.,Bilastine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS040630,coverage_60bf53745d34,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS041454,Carinose [Micronized Loratadine 10 mg.],Carinose,Micronized Loratadine 10 mg.,Micronized Loratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS041454,coverage_c0395a706e4a,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS041510,Clarid [Loratadine (Micronized) 10 mg],Clarid,Loratadine (Micronized) 10 mg,Loratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS041510,coverage_780fd2482549,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
BDS041499,Clarityne [Micronized loratadine 10 mg.],Clarityne,Micronized loratadine 10 mg.,Micronized loratadine,tablet,oral,allergy_respiratory,False,data/core/drug_short_lookup.json:lookup.BDS041499,coverage_acbde9239323,product_label_smpc,label_only_catalog,manual_review_required,false,catalog_only,,,,,,,,,,,,,,,,,,,product_label_source,drug short lookup is product/catalog metadata only,"use label/source only for product metadata, not disease regimen readiness",false,false,false,product metadata only,not_applicable,not_applicable,not_applicable,manual_review_required,keep_blocked_or_manual_review,drug short lookup is product/catalog metadata only,true,"use label/source only for product metadata, not disease regimen readiness"
