coverage_family,row_id,product_id,disease_key,generic_name,status,rx_ready,missing_fields,next_action
regimen,gold_regimen_4afd287d5aac,BDS003762,uri_wet_cough_adult,Paracetamol 500 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_ec397ea74e60,BDS045630,uri_wet_cough_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_f8276d78ffc4,BDS002655,uri_wet_cough_adult,Ambroxol HCl 30 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_5dcb70e5b2eb,BDS002901,uri_wet_cough_adult,Acetylcysteine 600 mg.,not_fully_verified,False,indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_c1ca6fdb2e9f,BDS003762,uri_diarrhea_adult,Paracetamol 500 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_35371e7aa0ef,BDS004213,uri_diarrhea_adult,Cetirizine dihydrochloride 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_986999f9a132,BDS008282,uri_diarrhea_adult,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_4be65683c297,BDS001248,uri_diarrhea_adult,Lyophilized Saccharomyces boulardii 250 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_01c096705a53,BDS042304,uri_diarrhea_adult,Dioctahedral Smectite 3 g./20 ml.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_4535c52a7fdb,BDS043842,uri_diarrhea_adult,Racecadotril 100 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_70ea18440f3f,BDS045630,uri_diarrhea_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_d9480d52cc6a,BDS008282,acute_watery_diarrhea_adult,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_1bba07e3cf18,BDS001248,acute_watery_diarrhea_adult,Lyophilized Saccharomyces boulardii 250 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_d66ba056f098,BDS042304,acute_watery_diarrhea_adult,Dioctahedral Smectite 3 g./20 ml.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_9fb4cc41b637,BDS043842,acute_watery_diarrhea_adult,Racecadotril 100 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_6dad615aab2f,BDS003762,uri_rash_adult,Paracetamol 500 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_d50b5881f9bd,BDS004213,uri_rash_adult,Cetirizine dihydrochloride 10 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_fab7bc85a7d7,BDS006745,uri_rash_adult,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_aaa7fe034e46,BDS003747,uri_rash_adult,Fexofenadine HCl 180 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_dc10309bf03c,BDS045630,uri_rash_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_70381cfa14af,BDS003762,sore_throat_adult,Paracetamol 500 mg.,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_8ce2fcc82d18,BDS002411,sore_throat_adult,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_8f817548f759,BDS006462,sore_throat_adult,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_ceb640b64a44,BDS004035,dry_eye_adult,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_bb768ea25faa,BDS001552,dry_eye_adult,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_8e287cc7ecbf,BDS008282,acute_watery_diarrhea_peds,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_b910d0e1fe24,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_7de5f03d9e6e,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_f97c5d658f0e,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_eb8f1ddf3497,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_fe66795c42e0,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_25a188f95db9,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_99ccd6639bdc,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_8614d2e9625c,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_6b16a0049064,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_591750019522,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_008824dc2100,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_82f2982b486b,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_1a203f36f7fc,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_86403e7c21d3,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_a34265cae3cc,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_049a6501acc6,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_1c75bb069f59,BDS004213,allergic_rhinitis_adult,Cetirizine dihydrochloride 10 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_a013893de580,BDS002805,allergic_rhinitis_adult,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_e4c533fe7d19,BDS003747,allergic_rhinitis_adult,Fexofenadine HCl 180 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_10375ae1cbda,BDS045630,allergic_rhinitis_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_07c8822f2e39,BDS003762,uri_dry_cough_adult,Paracetamol 500 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_986b397c491d,BDS045630,uri_dry_cough_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_679b8da28605,BDS002211,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_5e6a10659a13,BDS007973,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_11be435a3285,BDS003747,uri_dry_cough_adult,Fexofenadine HCl 180 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_ba7b7aecc4fe,BDS003762,uri_dry_cough_adult,Paracetamol 500 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_9db65a0073d1,BDS045630,uri_dry_cough_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_c9417295acad,BDS002211,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_83c102674628,BDS007973,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_6b176b039f60,BDS003747,uri_dry_cough_adult,Fexofenadine HCl 180 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_2e342cd9b742,BDS003762,uri_dry_cough_adult,Paracetamol 500 mg.,fully_verified,True,,ready by Gold validator
regimen,gold_regimen_fe4a29e62fd0,BDS045630,uri_dry_cough_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_5e4261388d7e,BDS002211,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_01ceb748cb66,BDS007973,uri_dry_cough_adult,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_68039811ff62,BDS003747,uri_dry_cough_adult,Fexofenadine HCl 180 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_282a4344c811,BDS003762,sore_throat_adult,Paracetamol 500 mg.,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_bffda6240cce,BDS002411,sore_throat_adult,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_9ca2e5a2e661,BDS006462,sore_throat_adult,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_67281e50666b,BDS008282,acute_watery_diarrhea_adult,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_583074b3837e,BDS001248,acute_watery_diarrhea_adult,Lyophilized Saccharomyces boulardii 250 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_84307ca971c5,BDS042304,acute_watery_diarrhea_adult,Dioctahedral Smectite 3 g./20 ml.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_9899a058875a,BDS043842,acute_watery_diarrhea_adult,Racecadotril 100 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_cf3a2bd6167a,BDS008282,acute_watery_diarrhea_adult,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_e5c19b4814f9,BDS001248,acute_watery_diarrhea_adult,Lyophilized Saccharomyces boulardii 250 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_0c18754031fe,BDS042304,acute_watery_diarrhea_adult,Dioctahedral Smectite 3 g./20 ml.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_fac6426a485f,BDS043842,acute_watery_diarrhea_adult,Racecadotril 100 mg.,not_fully_verified,False,product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_14f0119c5e37,BDS003762,uri_rash_adult,Paracetamol 500 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_f1b2cd56043f,BDS004213,uri_rash_adult,Cetirizine dihydrochloride 10 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_b65015017df4,BDS006745,uri_rash_adult,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_429f5424efe2,BDS003747,uri_rash_adult,Fexofenadine HCl 180 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_28e9f6166134,BDS045630,uri_rash_adult,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_eba12ce57b0c,BDS046208,eye_irritation_adult,Boric Acid 2.0 g.+Sodium Borate 0.5 g.+Zinc Sulphate 0.004 g./100 ml.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_e8a834132b8a,BDS004035,eye_irritation_adult,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_08b86817d1de,BDS001552,eye_irritation_adult,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_4b0503c1e0a5,BDS003679,eye_irritation_adult,Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_3d0f421f2a58,BDS046208,eye_irritation_adult,Boric Acid 2.0 g.+Sodium Borate 0.5 g.+Zinc Sulphate 0.004 g./100 ml.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_dab470bcef1f,BDS004035,eye_irritation_adult,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_4ff046ed8e28,BDS001552,eye_irritation_adult,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_f47fd6e03f7c,BDS003679,eye_irritation_adult,Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_9a00b65effd2,BDS046208,eye_irritation_adult,Boric Acid 2.0 g.+Sodium Borate 0.5 g.+Zinc Sulphate 0.004 g./100 ml.,not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_93b70f13a439,BDS004035,eye_irritation_adult,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),not_fully_verified,False,disease guideline/line-of-treatment proof; product/regimen source citation; indication; dose; route; frequency; duration; minimum safety,add exact source-backed field evidence before RX/SWAPS promotion
regimen,gold_regimen_3fe22b87690e,BDS001552,eye_irritation_adult,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,not_fully_verified,True,disease guideline/line-of-treatment proof,add exact source-backed field evidence before RX/SWAPS promotion
