allergy_alternative,antibiotic_criteria_source_ready,antibiotic_gate_id,antibiotic_gate_ready,avoid_if,bacterial_criteria_required,criteria_text,disease_key,duration_rule,final_antibiotic_status,gate_logic,generic_name,guideline_next_action,line_of_therapy,major_interactions,no_antibiotic_source_ready,not_for_viral_use,pediatric_caution,pregnancy_caution,product_id,red_flag_source_ready,renal_caution,source_ids,missing_fields
,True,abx_29b783d1afb4,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin 500 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS002201,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_7a71ecd2bdcf,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_01d82e7f8f3d,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_a664e1a56fde,False,,True,,tinea_corporis_localized_adult,7–14 days,source_missing_hide_from_rx,,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,RX1,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_08f16c9b9d08,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_8be4fccd4d94,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ebe49884500e,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ea3df33a1d0f,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_b2b9348fc3d5,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_8de378b439cc,False,,True,,impetigo_localized_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_21b75d815fa9,False,,True,,minor_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX2,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ff23a211925b,False,,True,,minor_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX2,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_027f67cb3b3f,False,,True,,minor_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,RX2,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_458cddcad811,False,,True,,superficial_abrasion_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bd861053c95a,False,,True,,superficial_abrasion_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_80371d6d4c4e,False,,True,,superficial_abrasion_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_cffd337c2ab6,False,,True,,minor_cut_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_05cae48a3bef,False,,True,,minor_cut_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_398e549cfaa8,False,,True,,minor_cut_wound_care_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_bfa2cf005028,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_3996fb737913,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_56b6b4a5361b,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP2,,False,False,,,BDS003721,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_108df9948b1c,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_5db72d6a5617,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_896ddf013024,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP2,,False,False,,,BDS003721,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_e88cb2cbf09a,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_78b74d10b488,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_353aa6054e8a,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP2,,False,False,,,BDS003721,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_0467e09c095d,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"criteria can triage bacterial pattern, but product dose/duration source is still required",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_47c5ec7689e4,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"criteria can triage bacterial pattern, but product dose/duration source is still required",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_2c2410a58859,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"criteria can triage bacterial pattern, but product dose/duration source is still required",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_6f76e067ba6c,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"criteria can triage bacterial pattern, but product dose/duration source is still required",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_e2711faf6839,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"criteria can triage bacterial pattern, but product dose/duration source is still required",RX1,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_bf09620b2ac4,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"criteria can triage bacterial pattern, but product dose/duration source is still required",SWAP1,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_73115148f322,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_cce5f7ce0b9b,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_a522ddbb338d,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_3e432de33c37,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_87ba408141be,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_c4bd4b0ade1a,False,,True,,bacterial_eyelid_infection_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_24179a739f7d,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_90aae75715d9,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d0eb82ae5ce8,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_115f272c57b1,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bc4c233de7e0,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",,RX1,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bfb01e690c74,False,,True,,bacterial_eyelid_infection_peds,5 days,source_missing_hide_from_rx,,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,,SWAP1,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_b4bf50a227a9,False,,True,,bacterial_sinusitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,,RX1,,False,False,,,BDS001047,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_e03a83dde80f,False,,True,,bacterial_sinusitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,,RX1,,False,False,,,BDS001047,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_f36f7ed185ea,False,,True,,bacterial_sinusitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,,RX1,,False,False,,,BDS001047,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_4d0673b01cf9,False,,True,,bacterial_pharyngitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_69cbf92c0f78,False,,True,,bacterial_pharyngitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_96cc8cc0ead3,False,,True,,bacterial_pharyngitis_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_362130f6f781,False,,True,,macrolide_respiratory_bacterial_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_28b5dbc21032,False,,True,,macrolide_respiratory_bacterial_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_361604353b55,False,,True,,macrolide_respiratory_bacterial_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_750a31b4c932,False,,True,,dental_infection_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bd49e675dec2,False,,True,,dental_infection_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_61bffb42e726,False,,True,,dental_infection_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_6c9719aff46f,False,,True,,infected_insect_bite_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_0b2339b326a3,False,,True,,infected_insect_bite_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_da2bdcf2a038,False,,True,,infected_insect_bite_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d8a72f92bcf9,False,,True,,infected_insect_bite_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_01fa9bec1c35,False,,True,,infected_insect_bite_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_9f5727f3e75e,False,,True,,infected_insect_bite_peds,5 days,source_missing_hide_from_rx,,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,,RX1,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_3d5948cdd848,False,,True,,cellulitis_mild_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_6af8a72393f1,False,,True,,cellulitis_mild_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_efb8aeba4bc3,False,,True,,cellulitis_mild_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_06f7d3593fa9,False,,True,,impetigo_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2e898099d9cf,False,,True,,impetigo_oral_antibiotic_adult,5–7 days,source_missing_hide_from_rx,,Fusidic acid 20 mg./1 g.,,RX2,,False,False,,,BDS001991,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_e3ced3c3d323,False,,True,,impetigo_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
