adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_guideline_claim_types,disease_guideline_next_action,disease_guideline_proof_status,disease_guideline_source_ids,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,swap_tier
1–2 drops OU / affected eye PRN,5–7 days,"anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi","anges in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Directions instill 1 to 2 drops in the affected eye(s) as needed Other information store at 15°-25°C (59°-77°F) Inactive ingredients benzalkonium chloride, boric acid, calcium chloride hydrate (dihydrate), hydrochloric acid**, magnesium chloride, potassium chloride, sodi",PO,,,,,eye_irritation_adult,Eye irritation / dust exposure,True,True,gold_ready_adult,True,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_3fe22b87690e,,True,SWAP1,SWAP,BDS001552,FRM0010,True,True,dailymed_cmc_0_5_eye_drops_fb84fc0b,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_b3e790f54ef9,,True,SWAP1,SWAP,BDS003762,FRM0011,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_7b54f610e22e,,True,SWAP1,SWAP,BDS003762,FRM0011,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_e3dfb8a917d7,,True,SWAP1,SWAP,BDS003762,FRM0011,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_d8c88560c330,,True,SWAP1,SWAP,BDS003762,FRM0011,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_2be7dc1b1715,,True,SWAP1,SWAP,BDS003762,FRM0062,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_ee5cd35a0d53,,True,SWAP1,SWAP,BDS003762,FRM0062,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_541f060c273f,,True,SWAP1,SWAP,BDS003762,FRM0062,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,localized_muscle_ache_support_adult,Localized muscle ache support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_a00f1c76d991,,True,SWAP1,SWAP,BDS003762,FRM0067,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,localized_muscle_ache_support_adult,Localized muscle ache support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_b93559210047,,True,SWAP1,SWAP,BDS003762,FRM0067,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
1–2 tabs PO q4–6h PRN pain,3 days,"ontrol (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º","attention is critical for adults as well as for children even if you do not notice any signs or symptoms. Directions do not take more than directed (see overdose warning) Adults and children 12 years and over: take 2 Caplets every 6 hours while symptoms last do not take more than 6 caplets in hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor Children under 12 Years ask a doctor Other information store at 20º - 25ºC (68º -77ºF) Inactive ingredients Croscarmellose Sodium",PO,,,,,localized_muscle_ache_support_adult,Localized muscle ache support,True,True,gold_ready_adult,True,Paracetamol 500 mg.,gold_regimen_9353b5bc5e04,,True,SWAP1,SWAP,BDS003762,FRM0067,True,True,dailymed_acetaminophen_500mg_tablet_0d67bb52,Tier 1 verified alternative
apply thinly BID–TID,7–14 days,"inue use and consult a doctor. Keep out of the reach of children. In case of accidental ingestion, seek professional assistance or contact a Poison Control Center right away. • Wash the affected area and dry thoroughly. • Apply a thin layer over affected area twice daily (morning and night), or as directed by a doctor. • Supervise children in the use of this product. • For athlete's foot, pay special attention to the spaces between the toes; wear well-fitting ventilated shoes, and change shoes and socks at least on","RIGLYCERIDE GLYCERIN ETHYLHEXYLGLYCERIN Clotrimazole 1% Antifungal Cures athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis). Relieves the itching, irritation, redness, scaling and discomfort which can accompany these conditions. For external use only Avoid contact with eyes. on children under 2 years of age unless directed by a doctor. If irritation occurs or if there is no improvement within 4 weeks (for athlete's foot or ringworm) or within 2 weeks (for jock itch), discontinue use a",PO,disease_strategy; drug_class_indication; line_of_treatment; red_flags,topical antifungal product dose/duration source is required before additional tinea rows unlock,source_backed_tinea_diagnostic_caution,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,tinea_pedis_adult,Tinea pedis / fungal foot rash,True,True,gold_ready_adult,True,Clotrimazole 1 g./100 g.,gold_regimen_92823c7927dd,,True,SWAP1,SWAP,BDS001489,FRM0123,True,True,dailymed_clotrimazole_1pct_cream_468f1b1b,Tier 1 verified alternative
apply thinly BID–TID,7–14 days,"inue use and consult a doctor. Keep out of the reach of children. In case of accidental ingestion, seek professional assistance or contact a Poison Control Center right away. • Wash the affected area and dry thoroughly. • Apply a thin layer over affected area twice daily (morning and night), or as directed by a doctor. • Supervise children in the use of this product. • For athlete's foot, pay special attention to the spaces between the toes; wear well-fitting ventilated shoes, and change shoes and socks at least on","RIGLYCERIDE GLYCERIN ETHYLHEXYLGLYCERIN Clotrimazole 1% Antifungal Cures athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis). Relieves the itching, irritation, redness, scaling and discomfort which can accompany these conditions. For external use only Avoid contact with eyes. on children under 2 years of age unless directed by a doctor. If irritation occurs or if there is no improvement within 4 weeks (for athlete's foot or ringworm) or within 2 weeks (for jock itch), discontinue use a",PO,disease_strategy; drug_class_indication; line_of_treatment; red_flags,topical antifungal product dose/duration source is required before additional tinea rows unlock,source_backed_tinea_diagnostic_caution,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,tinea_pedis_adult,Tinea pedis / fungal foot rash,True,True,gold_ready_adult,True,Clotrimazole 1 g./100 g.,gold_regimen_46b4cbaddc46,,True,SWAP1,SWAP,BDS001489,FRM0123,True,True,dailymed_clotrimazole_1pct_cream_468f1b1b,Tier 1 verified alternative
