gold_regimen_row_id,regimen_id,product_id,generic_name,disease_key,modality,final_rx_status,accredited_source_status,missing_accredited_fields,next_action
gold_regimen_5dcb70e5b2eb,FRM0002,BDS002901,Acetylcysteine 600 mg.,uri_wet_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_c1ca6fdb2e9f,FRM0003,BDS003762,Paracetamol 500 mg.,uri_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_35371e7aa0ef,FRM0003,BDS004213,Cetirizine dihydrochloride 10 mg.,uri_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_986999f9a132,FRM0003,BDS008282,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,uri_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_4be65683c297,FRM0003,BDS001248,Lyophilized Saccharomyces boulardii 250 mg.,uri_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_01c096705a53,FRM0003,BDS042304,Dioctahedral Smectite 3 g./20 ml.,uri_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_4535c52a7fdb,FRM0003,BDS043842,Racecadotril 100 mg.,uri_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_70ea18440f3f,FRM0003,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_d9480d52cc6a,FRM0004,BDS008282,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_1bba07e3cf18,FRM0004,BDS001248,Lyophilized Saccharomyces boulardii 250 mg.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_d66ba056f098,FRM0004,BDS042304,Dioctahedral Smectite 3 g./20 ml.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_9fb4cc41b637,FRM0004,BDS043842,Racecadotril 100 mg.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_6dad615aab2f,FRM0005,BDS003762,Paracetamol 500 mg.,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_d50b5881f9bd,FRM0005,BDS004213,Cetirizine dihydrochloride 10 mg.,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_fab7bc85a7d7,FRM0005,BDS006745,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_aaa7fe034e46,FRM0005,BDS003747,Fexofenadine HCl 180 mg.,uri_rash_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_dc10309bf03c,FRM0005,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_rash_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_70381cfa14af,FRM0006,BDS003762,Paracetamol 500 mg.,sore_throat_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_8ce2fcc82d18,FRM0006,BDS002411,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,sore_throat_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_8f817548f759,FRM0006,BDS006462,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,sore_throat_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_ceb640b64a44,FRM0007,BDS004035,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),dry_eye_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_bb768ea25faa,FRM0007,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,dry_eye_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_8e287cc7ecbf,FRM0008,BDS008282,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,acute_watery_diarrhea_peds,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_b910d0e1fe24,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_7de5f03d9e6e,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_f97c5d658f0e,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_eb8f1ddf3497,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_fe66795c42e0,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_25a188f95db9,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_99ccd6639bdc,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_8614d2e9625c,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_6b16a0049064,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_591750019522,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_008824dc2100,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_82f2982b486b,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_1a203f36f7fc,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_86403e7c21d3,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_a34265cae3cc,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_049a6501acc6,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_1c75bb069f59,FRM0001,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_a013893de580,FRM0001,BDS002805,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),allergic_rhinitis_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_e4c533fe7d19,FRM0001,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_10375ae1cbda,FRM0001,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,allergic_rhinitis_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_07c8822f2e39,FRM0009,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_986b397c491d,FRM0009,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_679b8da28605,FRM0009,BDS002211,Dextromethorphan HBr 15 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_5e6a10659a13,FRM0009,BDS007973,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_11be435a3285,FRM0009,BDS003747,Fexofenadine HCl 180 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_ba7b7aecc4fe,FRM0009,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_9db65a0073d1,FRM0009,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_c9417295acad,FRM0009,BDS002211,Dextromethorphan HBr 15 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_83c102674628,FRM0009,BDS007973,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_6b176b039f60,FRM0009,BDS003747,Fexofenadine HCl 180 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_2e342cd9b742,FRM0009,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_fe4a29e62fd0,FRM0009,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_5e4261388d7e,FRM0009,BDS002211,Dextromethorphan HBr 15 mg.,uri_dry_cough_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_01ceb748cb66,FRM0009,BDS007973,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_68039811ff62,FRM0009,BDS003747,Fexofenadine HCl 180 mg.,uri_dry_cough_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_282a4344c811,FRM0006,BDS003762,Paracetamol 500 mg.,sore_throat_adult,RX NOW,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
gold_regimen_bffda6240cce,FRM0006,BDS002411,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,sore_throat_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_9ca2e5a2e661,FRM0006,BDS006462,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,sore_throat_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_67281e50666b,FRM0004,BDS008282,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_583074b3837e,FRM0004,BDS001248,Lyophilized Saccharomyces boulardii 250 mg.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_84307ca971c5,FRM0004,BDS042304,Dioctahedral Smectite 3 g./20 ml.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_9899a058875a,FRM0004,BDS043842,Racecadotril 100 mg.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_cf3a2bd6167a,FRM0004,BDS008282,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_e5c19b4814f9,FRM0004,BDS001248,Lyophilized Saccharomyces boulardii 250 mg.,acute_watery_diarrhea_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_0c18754031fe,FRM0004,BDS042304,Dioctahedral Smectite 3 g./20 ml.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_fac6426a485f,FRM0004,BDS043842,Racecadotril 100 mg.,acute_watery_diarrhea_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_14f0119c5e37,FRM0005,BDS003762,Paracetamol 500 mg.,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_f1b2cd56043f,FRM0005,BDS004213,Cetirizine dihydrochloride 10 mg.,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_b65015017df4,FRM0005,BDS006745,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,uri_rash_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_429f5424efe2,FRM0005,BDS003747,Fexofenadine HCl 180 mg.,uri_rash_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_28e9f6166134,FRM0005,BDS045630,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,uri_rash_adult,SWAP,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_eba12ce57b0c,FRM0010,BDS046208,Boric Acid 2.0 g.+Sodium Borate 0.5 g.+Zinc Sulphate 0.004 g./100 ml.,eye_irritation_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_e8a834132b8a,FRM0010,BDS004035,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),eye_irritation_adult,RX NOW,source_missing_hide_from_rx,pending_exact_accredited_evidence,source citation; indication; dose; route; frequency; duration; minimum safety,find accepted source with exact indication/dose/route/frequency/duration/safety snippets
gold_regimen_08b86817d1de,FRM0010,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_irritation_adult,SWAP,gold_ready_adult,ready_source_verified,,eligible only through Gold overlay review
