input_phrase,normalized_phrase,disease_key,diagnosis,icd10,category,population,priority,match_type,rx_now_rows,swap_rows,restricted_rows,antibiotic_rows_present,runtime_policy,red_flags,notes
child bloating gas,child_bloating_gas,abdominal_gas_peds,Pediatric abdominal gas / bloating,,GI/GERD-dyspepsia,pediatric,2,alias,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gas child,gas_child,abdominal_gas_peds,Pediatric abdominal gas / bloating,,GI/GERD-dyspepsia,pediatric,3,alias,1,1,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute cough,acute_cough,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,1,exact,5,9,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute bronchitis,acute_bronchitis,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,1,exact,5,9,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gastroenteritis child,gastroenteritis_child,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,1,exact,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child gastroenteritis,child_gastroenteritis,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,2,alias,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mild diarrhea child,mild_diarrhea_child,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,3,alias,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gout flare,gout_flare,acute_gout_adult,Acute gout flare,,Pain,adult,1,exact,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute gout,acute_gout,acute_gout_adult,Acute gout flare,,Pain,adult,1,exact,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute otitis media,acute_otitis_media,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,1,exact,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
ear pain fever,ear_pain_fever,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,1,semantic,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
viral pharyngitis,viral_pharyngitis,acute_pharyngitis_viral_adult,Acute viral pharyngitis,,ENT/throat,adult,1,exact,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
viral sore throat,viral_sore_throat,acute_pharyngitis_viral_adult,Acute viral pharyngitis,,ENT/throat,adult,2,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
throat irritation,throat_irritation,acute_pharyngitis_viral_adult,Acute viral pharyngitis,,ENT/throat,adult,3,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute sinusitis,acute_sinusitis,acute_sinusitis_no_abx,Acute sinusitis no antibiotic,,ENT/sinusitis,adult,1,exact,2,3,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sore throat,sore_throat,acute_sore_throat_no_abx,Acute sore throat no antibiotic,,ENT/throat,adult,1,exact,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acute watery diarrhea,acute_watery_diarrhea,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,1,exact,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
watery diarrhea,watery_diarrhea,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,2,alias,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
diarrhea,diarrhea,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,3,alias,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
diarrhea 5 yr bw 20 kg,diarrhea_5_yr_bw_20_kg,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),,GI/diarrhea,pediatric,1,shortcut,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
rehydration diarrhea child,rehydration_diarrhea_child,acute_watery_diarrhea_peds_rehydration,Pediatric watery diarrhea rehydration support,,GI/diarrhea,pediatric,1,exact,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child ors support,child_ors_support,acute_watery_diarrhea_peds_rehydration,Pediatric watery diarrhea rehydration support,,GI/diarrhea,pediatric,2,alias,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
watery diarrhea child rehydration,watery_diarrhea_child_rehydration,acute_watery_diarrhea_peds_rehydration,Pediatric watery diarrhea rehydration support,,GI/diarrhea,pediatric,3,alias,4,1,0,NO,pediatric_gate_required,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allergic conjunctivitis,allergic_conjunctivitis,allergic_conjunctivitis_adult,Allergic conjunctivitis,,Eye,adult,1,exact,2,2,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy red eye allergy,itchy_red_eye_allergy,allergic_conjunctivitis_adult,Allergic conjunctivitis,,Eye,adult,2,alias,2,2,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy watery eyes,itchy_watery_eyes,allergic_conjunctivitis_adult,Allergic conjunctivitis,,Eye,adult,3,alias,2,2,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allergic rhinitis,allergic_rhinitis,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,1,exact,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
runny nose,runny_nose,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,2,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
runny nose allergy,runny_nose_allergy,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,3,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sneezing,sneezing,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,3,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy nose,itchy_nose,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,3,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
blocked nose,blocked_nose,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,3,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nasal congestion,nasal_congestion,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,3,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
hay fever,hay_fever,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,1,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sneezing itchy nose,sneezing_itchy_nose,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,1,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
ภูมิแพ้จมูก,,allergic_rhinitis_adult,Allergic rhinitis,,ENT/rhinitis,adult,1,alias,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allergic rhinitis with congestion,allergic_rhinitis_with_congestion,allergic_rhinitis_congestion_adult,Allergic rhinitis with prominent congestion,,ENT/rhinitis,adult,1,exact,1,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
blocked nose allergy,blocked_nose_allergy,allergic_rhinitis_congestion_adult,Allergic rhinitis with prominent congestion,,ENT/rhinitis,adult,2,alias,1,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allergy nose blocked,allergy_nose_blocked,allergic_rhinitis_congestion_adult,Allergic rhinitis with prominent congestion,,ENT/rhinitis,adult,3,alias,1,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
rhinitis with blocked nose,rhinitis_with_blocked_nose,allergic_rhinitis_congestion_adult,Allergic rhinitis with prominent congestion,,ENT/rhinitis,adult,1,alias,1,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allergic rhinitis child,allergic_rhinitis_child,allergic_rhinitis_peds,Pediatric allergic rhinitis,,ENT/rhinitis,pediatric,1,exact,1,2,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child allergic rhinitis,child_allergic_rhinitis,allergic_rhinitis_peds,Pediatric allergic rhinitis,,ENT/rhinitis,pediatric,2,alias,1,2,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
runny nose allergy child,runny_nose_allergy_child,allergic_rhinitis_peds,Pediatric allergic rhinitis,,ENT/rhinitis,pediatric,3,alias,1,2,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
ภูมิแพ้จมูก เด็ก,,allergic_rhinitis_peds,Pediatric allergic rhinitis,,ENT/rhinitis,pediatric,1,alias,1,2,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
aphthous ulcer,aphthous_ulcer,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,,Oral/dental,adult,1,exact,4,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
painful mouth ulcer,painful_mouth_ulcer,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,,Oral/dental,adult,2,alias,4,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
canker sore,canker_sore,aphthous_ulcer_pain_adult,Painful aphthous ulcer support,,Oral/dental,adult,3,alias,4,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child asthma,child_asthma,asthma_child_5_11_chronic_management,Asthma chronic management child 5–11,,Chronic/respiratory,pediatric,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
asthma/asthma med review,asthma_asthma_med_review,asthma_over12_chronic_management,Asthma chronic management age ≥12,,Chronic/respiratory,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
atopic eczema child,atopic_eczema_child,atopic_eczema_child_mild,Atopic eczema in child: mild flare,,Skin/allergy-inflammatory,pediatric,1,exact,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eczema child,eczema_child,atopic_eczema_child_mild,Atopic eczema in child: mild flare,,Skin/allergy-inflammatory,pediatric,1,exact,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eczema flare child,eczema_flare_child,atopic_eczema_child_moderate_flare,Atopic eczema in child: moderate flare,,Skin/allergy-inflammatory,pediatric,1,semantic,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial conjunctivitis,bacterial_conjunctivitis,bacterial_conjunctivitis_adult,Acute bacterial conjunctivitis,,Eye,adult,1,exact,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sticky eye discharge,sticky_eye_discharge,bacterial_conjunctivitis_adult,Acute bacterial conjunctivitis,,Eye,adult,2,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
purulent red eye,purulent_red_eye,bacterial_conjunctivitis_adult,Acute bacterial conjunctivitis,,Eye,adult,3,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial conjunctivitis child,bacterial_conjunctivitis_child,bacterial_conjunctivitis_peds,Pediatric bacterial conjunctivitis,,Eye,pediatric,1,exact,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sticky eye child,sticky_eye_child,bacterial_conjunctivitis_peds,Pediatric bacterial conjunctivitis,,Eye,pediatric,2,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
purulent eye discharge child,purulent_eye_discharge_child,bacterial_conjunctivitis_peds,Pediatric bacterial conjunctivitis,,Eye,pediatric,3,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stye bacterial,stye_bacterial,bacterial_eyelid_infection_adult,Bacterial eyelid infection / stye support,,Eye,adult,1,exact,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eyelid infection,eyelid_infection,bacterial_eyelid_infection_adult,Bacterial eyelid infection / stye support,,Eye,adult,2,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
infected stye,infected_stye,bacterial_eyelid_infection_adult,Bacterial eyelid infection / stye support,,Eye,adult,3,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stye child,stye_child,bacterial_eyelid_infection_peds,Pediatric bacterial eyelid infection / stye support,,Eye,pediatric,1,exact,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eyelid infection child,eyelid_infection_child,bacterial_eyelid_infection_peds,Pediatric bacterial eyelid infection / stye support,,Eye,pediatric,2,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
infected stye child,infected_stye_child,bacterial_eyelid_infection_peds,Pediatric bacterial eyelid infection / stye support,,Eye,pediatric,3,alias,3,0,0,YES,disease_gated_antibiotic,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial sore throat,bacterial_sore_throat,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,,ENT/throat,adult,1,exact,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
tonsillitis,tonsillitis,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,,ENT/throat,adult,2,alias,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial pharyngitis,bacterial_pharyngitis,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,,ENT/throat,adult,3,alias,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
pharyngitis alternative antibiotic,pharyngitis_alternative_antibiotic,bacterial_pharyngitis_alt_adult,Bacterial pharyngitis alternative antibiotic row,,ENT/throat,adult,1,exact,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
roxi sore throat antibiotic,roxi_sore_throat_antibiotic,bacterial_pharyngitis_alt_adult,Bacterial pharyngitis alternative antibiotic row,,ENT/throat,adult,2,alias,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial throat alternative antibiotic,bacterial_throat_alternative_antibiotic,bacterial_pharyngitis_alt_adult,Bacterial pharyngitis alternative antibiotic row,,ENT/throat,adult,3,alias,4,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bacterial sore throat child,bacterial_sore_throat_child,bacterial_pharyngitis_peds,Pediatric bacterial pharyngitis / tonsillitis,,ENT/throat,pediatric,1,exact,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
