runtime_row_id,disease_key,diagnosis,icd10,category,population,tier,when_to_use,modality,drug_product,BDS,sig,duration,dispense,price_pack,side_effect_quick,caution_quick,gate_required,runtime_level,antibiotic_flag,pediatric_allowed,peds_rule_id,source_ids,citation_urls,red_flags,notes
SWAP_0011,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 6,dry cough,oral,Icolid (ควบคุมจำนวน) [Dextromethorphan HBr 15 mg.],BDS002211,product-specific adult dose PRN,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"drowsiness, nausea",avoid MAOI/serotonergic toxicity risk,safety_gate,GATED,FALSE,FALSE,,FDA_COUGH_COLD_CHILDREN,https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0012,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 7,allergy/itch/rhinitis,oral,Alerest [Cetirizine dihydrochloride 10 mg.],BDS040029,10 mg PO OD,5–14 days,แผง 10 เม็ด,แผง 10 เม็ด,"somnolence, dry mouth",caution sedation; adjust in severe renal disease,standard,DEFAULT_FAST,FALSE,FALSE,,DM_CETIRIZINE,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=cetirizine,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0013,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 8,rhinorrhea/itch/allergy,oral,Histatabs [Chlorpheniramine Maleate 4 mg.],BDS007145,4 mg PO q6–8h PRN,3–5 days,กระปุก 100 เม็ด,กระปุก 100 เม็ด,"sedation, dry mouth",avoid driving; caution glaucoma/BPH; avoid young children,safety_gate,GATED,FALSE,FALSE,,FDA_COUGH_COLD_CHILDREN;DM_LABEL,https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids; https://dailymed.nlm.nih.gov/dailymed/,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0014,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 9,congestion/rhinorrhea,oral,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],BDS045630,product-specific adult dose short course,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"palpitation, insomnia, sedation if combo","avoid uncontrolled HTN, arrhythmia, MAOI; block young children",safety_gate,GATED,FALSE,FALSE,,FDA_COUGH_COLD_CHILDREN,https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0015,acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,,ENT/URI-cough,adult,Tier 2,nasal congestion,nasal,Actavia [Xylometazoline Hydrochloride 0.1% (1 mg./1 ml.)],BDS040080,1–2 sprays/nostril BID PRN,≤3 days,ขวด 10 ml.,ขวด 10 ml.,"rebound congestion, dryness",max 3 days; caution HTN/CV disease,safety_gate,GATED,FALSE,FALSE,,CDC_ADULT_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0016,acute_gastroenteritis_peds_mild,Pediatric mild gastroenteritis,,GI/diarrhea,pediatric,Tier 2,acute watery diarrhea,sachet/capsule,Hidrasec 100 mg. [Racecadotril 100 mg.],BDS043842,adult/child product dose TID short course,1–3 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,"headache, rash",not substitute for ORS; avoid bloody diarrhea,pediatric_gate,GATED,FALSE,TRUE,PEDS_RACECADOTRIL_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0017,acute_gout_adult,Acute gout flare,,Pain,adult,Tier 2,pain/inflammation/fever,oral,S-Pro 600 [Ibuprofen 600 mg.],BDS003581,200–400 mg PO q6–8h PRN with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"dyspepsia, GI bleed risk","avoid active GI bleed, severe renal disease, late pregnancy, duplicate NSAID",safety_gate,GATED,FALSE,FALSE,,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0018,acute_gout_adult,Acute gout flare,,Pain,adult,Tier 3,pain/inflammation/dysmenorrhea,oral,Naprofazt [Naproxen (as Naproxen Sodium) 250 mg.],BDS045624,220–275 mg PO BID PRN with food,3–5 days,แผง 10 แคปซูล,แผง 10 แคปซูล,"dyspepsia, edema",NSAID cautions; avoid duplicate NSAID,safety_gate,GATED,FALSE,FALSE,,FDA_NSAID;ACOG_DYSMENORRHEA,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label; https://www.acog.org/womens-health/faqs/dysmenorrhea-painful-periods,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0019,acute_gout_adult,Acute gout flare,,Pain,adult,Tier 4,pain/inflammation,oral,Cataflam 50 mg [Diclofenac Potassium 50 mg],BDS041402,25–50 mg PO BID–TID with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"GI upset, edema",NSAID cautions; avoid duplicate NSAID,safety_gate,GATED,FALSE,FALSE,,FDA_NSAID,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0020,acute_gout_adult,Acute gout flare,,Pain,adult,Tier 5,inflammatory pain,oral,Arcoxia 120 mg [Etoricoxib 120 mg.],BDS001076,60–90 mg PO OD with food,3–5 days,แผง 5 เม็ด,แผง 5 เม็ด,"edema, dyspepsia, BP rise",avoid high CV risk/uncontrolled HTN; no duplicate NSAID,safety_gate,GATED,FALSE,FALSE,,FDA_NSAID,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0021,acute_gout_adult,Acute gout flare,,Pain,adult,Tier 6,inflammatory pain,oral,Celebrex 200 mg [Celecoxib 200 mg.],BDS001509,200 mg PO OD or BID per indication,3–5 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,"dyspepsia, edema",sulfonamide caution; CV/GI/renal risks,safety_gate,GATED,FALSE,FALSE,,FDA_NSAID,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0022,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,Tier 2,pain/inflammation/fever,oral,S-Pro 600 [Ibuprofen 600 mg.],BDS003581,200–400 mg PO q6–8h PRN with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"dyspepsia, GI bleed risk","avoid active GI bleed, severe renal disease, late pregnancy, duplicate NSAID",safety_gate,GATED,FALSE,FALSE,,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0023,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,Tier 3,bacterial ENT/dental infection,oral,A.M.Mox 500 [Amoxicillin 500 mg.],BDS040078,disease-specific dose,5–10 days,แผง 10 แคปซูล,แผง 10 แคปซูล,"GI upset, rash",penicillin allergy; antibiotic gate required,safety_gate;antibiotic_gate,DISEASE_GATED_ABX,TRUE,FALSE,,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0024,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,Tier 4,bacterial sinusitis/bite/dental/skin,oral,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],BDS001103,disease-specific dose,5–7 days,กล่อง 10 เม็ด,กล่อง 10 เม็ด,"diarrhea, GI upset",penicillin allergy; hepatic caution; antibiotic gate,safety_gate;antibiotic_gate,DISEASE_GATED_ABX,TRUE,FALSE,,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0025,acute_otitis_media,Acute otitis media,,ENT/otitis,adult,Tier 5,penicillin-allergy respiratory infection,oral,Azithro 250 mg [Azithromycin 250 mg.],BDS001494,disease-specific dose,3–5 days,กล่อง 6 แคปซูล,กล่อง 6 แคปซูล,"GI upset, QT risk",QT/drug interaction; resistance stewardship,safety_gate;antibiotic_gate,DISEASE_GATED_ABX,TRUE,FALSE,,CDC_ADULT_ABX;CDC_PED_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0026,acute_pharyngitis_viral_adult,Acute viral pharyngitis,,ENT/throat,adult,Tier 2,pain/inflammation/fever,oral,S-Pro 600 [Ibuprofen 600 mg.],BDS003581,200–400 mg PO q6–8h PRN with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"dyspepsia, GI bleed risk","avoid active GI bleed, severe renal disease, late pregnancy, duplicate NSAID",safety_gate,GATED,FALSE,FALSE,,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0027,acute_sinusitis_no_abx,Acute sinusitis no antibiotic,,ENT/sinusitis,adult,Tier 2,pain/inflammation/fever,oral,S-Pro 600 [Ibuprofen 600 mg.],BDS003581,200–400 mg PO q6–8h PRN with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"dyspepsia, GI bleed risk","avoid active GI bleed, severe renal disease, late pregnancy, duplicate NSAID",safety_gate,GATED,FALSE,FALSE,,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0028,acute_sinusitis_no_abx,Acute sinusitis no antibiotic,,ENT/sinusitis,adult,Tier 2,allergic rhinitis/nasal inflammation,nasal,Elomet 0.1 % [Mometasone Furoate 1 mg/1 g (0.1%)],BDS001803,1–2 sprays/nostril OD,7–14 days,หลอด 5 g.,หลอด 5 g.,"nasal irritation, epistaxis",aim away from septum; infection/nasal ulcer caution,standard,DEFAULT_FAST,FALSE,FALSE,,CDC_ADULT_ABX;ARIA_RHINITIS,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7383483/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0029,acute_sinusitis_no_abx,Acute sinusitis no antibiotic,,ENT/sinusitis,adult,Tier 3,nasal congestion,nasal,Actavia [Xylometazoline Hydrochloride 0.1% (1 mg./1 ml.)],BDS040080,1–2 sprays/nostril BID PRN,≤3 days,ขวด 10 ml.,ขวด 10 ml.,"rebound congestion, dryness",max 3 days; caution HTN/CV disease,safety_gate,GATED,FALSE,FALSE,,CDC_ADULT_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0030,acute_sore_throat_no_abx,Acute sore throat no antibiotic,,ENT/throat,adult,Tier 2,pain/inflammation/fever,oral,S-Pro 600 [Ibuprofen 600 mg.],BDS003581,200–400 mg PO q6–8h PRN with food,3–5 days,แผง 10 เม็ด,แผง 10 เม็ด,"dyspepsia, GI bleed risk","avoid active GI bleed, severe renal disease, late pregnancy, duplicate NSAID",safety_gate,GATED,FALSE,FALSE,,DM_IBUPROFEN;FDA_NSAID,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen; https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label,Red flags or diagnostic uncertainty → in-person evaluation,Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0031,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,Tier 2,acute watery diarrhea,sachet/capsule,Hidrasec 100 mg. [Racecadotril 100 mg.],BDS043842,adult/child product dose TID short course,1–3 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,"headache, rash",not substitute for ORS; avoid bloody diarrhea,standard,DEFAULT_FAST,FALSE,FALSE,,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0032,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,Tier 2,adult non-bloody diarrhea,oral,Imodium [Loperamide HCl 2 mg.],BDS002214,4 mg once then 2 mg after stool; max per label,≤2 days,แผง 6 แคปซูล,แผง 6 แคปซูล,"constipation, cramps",avoid fever/bloody diarrhea/children unless directed,safety_gate,GATED,FALSE,FALSE,,WHO_ORS_ZINC;DM_LABEL,https://www.who.int/tools/elena/interventions/zinc-diarrhoea; https://dailymed.nlm.nih.gov/dailymed/,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0033,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,Tier 3,GERD/dyspepsia,oral,Pariet 20 mg [Rabeprazole 20 mg.],BDS003138,standard-dose PPI PO OD before meal,2–8 weeks depending indication,กล่อง 14 เม็ด,กล่อง 14 เม็ด,"headache, diarrhea",review long-term need; alarm symptoms need eval,standard,GATED,FALSE,FALSE,,NICE_GERD_DYSPEPSIA;ACG_GERD,https://www.nice.org.uk/guidance/cg184/chapter/recommendations; https://pmc.ncbi.nlm.nih.gov/articles/PMC8754510/,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0034,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,,GI/diarrhea,adult,Tier 4,dyspepsia/gas,oral,Milk of Magnesia C.B. [Magnesium Hydroxide 400 mg./5 ml.],BDS008461,chew/suspension after meals/HS PRN,as needed,ขวด 240 ml.,ขวด 240 ml.,constipation/diarrhea,separate from other meds; renal disease caution,standard,DEFAULT_FAST,FALSE,FALSE,,NICE_GERD_DYSPEPSIA,https://www.nice.org.uk/guidance/cg184/chapter/recommendations,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0035,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),,GI/diarrhea,pediatric,Tier 2,acute watery diarrhea,sachet/capsule,Hidrasec 100 mg. [Racecadotril 100 mg.],BDS043842,adult/child product dose TID short course,1–3 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,"headache, rash",not substitute for ORS; avoid bloody diarrhea,pediatric_gate,GATED,FALSE,TRUE,PEDS_RACECADOTRIL_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
SWAP_0036,acute_watery_diarrhea_peds_rehydration,Pediatric watery diarrhea rehydration support,,GI/diarrhea,pediatric,Tier 2,acute watery diarrhea,sachet/capsule,Hidrasec 100 mg. [Racecadotril 100 mg.],BDS043842,adult/child product dose TID short course,1–3 days,กล่อง 10 แคปซูล,กล่อง 10 แคปซูล,"headache, rash",not substitute for ORS; avoid bloody diarrhea,pediatric_gate,GATED,FALSE,TRUE,PEDS_RACECADOTRIL_ORAL,WHO_ORS_ZINC,https://www.who.int/tools/elena/interventions/zinc-diarrhoea,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Same generic/class alternatives can be substituted only after route/form/age/allergy/pregnancy/renal gates; representative product chosen from uploaded 910-product workbook.
