peds_rule_id,group_id,generic_or_class,age_min,age_max,weight_required,dose_formula,max_single_dose,max_daily_dose,route,frequency,duration,source_ids,citation_urls,status,notes
PEDS_MACROLIDE_ORAL,MACROLIDE_ORAL,azithromycin/clarithromycin/roxithromycin,6 mo label dependent,17 yr,YES,disease-specific mg/kg/day; product label/guideline,per disease,per disease,oral,OD/BID,3–5 days,CDC_PED_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,QT/drug interaction caution; not routine first-line.
PEDS_CEPHALEXIN_ORAL,CEPHALEXIN_ORAL,cephalexin,infant label dependent,17 yr,YES,disease-specific mg/kg/day divided QID/BID,per disease,per disease,oral,BID-QID,5–7 days,CDC_IMPETIGO;DM_LABEL,https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/impetigo.html; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,Skin infection/UTI gate; allergy check.
PEDS_ARTIFICIAL_TEARS,ARTIFICIAL_TEARS,lubricant eye drops,0 yr,17 yr,NO,1 drop affected eye PRN label-dependent,not applicable,not applicable,ophthalmic,PRN,as needed,AAO_DRY_EYE,https://www.aao.org/eye-health/diseases/what-is-dry-eye,supportive_ready,Avoid bottle contamination.
PEDS_ANTIALLERGY_EYE_DROPS,ANTIALLERGY_EYE_DROPS,olopatadine/ketotifen,age per label,17 yr,NO,1 drop per label,per label,per label,ophthalmic,OD-BID,5–14 days,AAO_CONJUNCTIVITIS;DM_LABEL,https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023; https://dailymed.nlm.nih.gov/dailymed/,label_required,Avoid contact lens during active red eye.
PEDS_ANTIBIOTIC_EYE_DROPS,ANTIBIOTIC_EYE_DROPS,chloramphenicol/tobramycin etc.,age per label,17 yr,NO,1 drop per product/disease label,per label,per label,ophthalmic,per label,5–7 days,AAO_CONJUNCTIVITIS;DM_LABEL,https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,Eye pain/vision loss/contact lens → urgent.
PEDS_TOPICAL_ANTIFUNGAL_AZOLE,TOPICAL_ANTIFUNGAL_AZOLE,topical azole,age per label,17 yr,NO,apply thinly BID,not applicable,not applicable,topical,BID,2–4 weeks,CDC_TINEA;DM_LABEL,https://www.cdc.gov/fungal/hcp/clinical-care/index.html; https://dailymed.nlm.nih.gov/dailymed/,label_required,Avoid steroid combo.
PEDS_TOPICAL_STEROID_LOW_MED,TOPICAL_STEROID_LOW_MED,topical corticosteroid,age/potency/site dependent,17 yr,NO,use lowest potency; thin layer OD–BID,not applicable,not applicable,topical,OD-BID,3–7 days,NICE_ECZEMA;DM_LABEL,https://cks.nice.org.uk/topics/eczema-atopic/management/management/; https://dailymed.nlm.nih.gov/dailymed/,safety_gate_required,Face/flexure/infant: low potency only.
PEDS_TOPICAL_ANTIBIOTIC_SKIN,TOPICAL_ANTIBIOTIC_SKIN,topical antibiotic,age per label,17 yr,NO,apply thinly TID,not applicable,not applicable,topical,TID,5 days,CDC_IMPETIGO;DM_LABEL,https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/impetigo.html; https://dailymed.nlm.nih.gov/dailymed/,antibiotic_gate_required,Only localized bacterial skin infection.
PEDS_NASAL_SALINE,NASAL_SALINE,nasal saline,0 yr,17 yr,NO,spray/drop/rinse per product PRN,not applicable,not applicable,intranasal,PRN,as needed,CDC_ADULT_ABX,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html,supportive_ready,Use clean water/device hygiene.
PEDS_PARACETAMOL_SUSP_120_5,PARACETAMOL_ORAL,paracetamol suspension 120 mg/5 mL,0 mo,17 yr,YES,10–15 mg/kg/dose PO q4–6h PRN; mL = dose_mg / 120 * 5,max 15 mg/kg/dose or 650 mg,max 60 mg/kg/day routine; do not exceed label max,oral,q4–6h PRN,3 days fever unless assessed,,,,
PEDS_PARACETAMOL_DROPS_60_0_6,PARACETAMOL_ORAL,paracetamol drops 60 mg/0.6 mL,0 mo,17 yr,YES,10–15 mg/kg/dose PO q4–6h PRN; mL = dose_mg / 60 * 0.6,max 15 mg/kg/dose or 650 mg,max 60 mg/kg/day routine; do not exceed label max,oral,q4–6h PRN,3 days fever unless assessed,,,,
PEDS_IBUPROFEN_SUSP_100_5,IBUPROFEN_ORAL,ibuprofen suspension 100 mg/5 mL,6 mo,17 yr,YES,5–10 mg/kg/dose PO q6–8h PRN; mL = dose_mg / 100 * 5,max 400 mg/dose,max 40 mg/kg/day; label cap,oral,q6–8h PRN,3 days fever/pain unless assessed,,,,
PEDS_CETIRIZINE_SYRUP_1_1,CETIRIZINE_ORAL,cetirizine syrup 1 mg/mL,2 yr,17 yr,NO,age-band label dosing; mL = dose_mg / 1,per age-band label,10 mg/day,oral,OD or BID depending age,5–14 days,,,,
PEDS_RACECADOTRIL_30_SACHET,RACECADOTRIL_ORAL,racecadotril pediatric sachet 30 mg,3 mo,17 yr,YES,use product age/weight band; do not calculate if band unavailable,per label,per label,oral,TID short course,1–3 days,,,,
