gap_id,area,severity,disease_key,finding,v5_action,status
GAP_0023,runtime coverage,review,migraine_over12_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0024,runtime coverage,review,migraine_peds_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0025,runtime coverage,review,migraine_peds_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0026,runtime coverage,review,migraine_peds_prevention_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0027,runtime coverage,review,obesity_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0028,runtime coverage,review,obesity_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0029,runtime coverage,review,obesity_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0030,runtime coverage,review,obesity_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0031,runtime coverage,review,obesity_child_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0032,runtime coverage,review,obesity_child_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0033,runtime coverage,review,obesity_child_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0034,runtime coverage,review,obesity_orlistat_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0035,runtime coverage,review,obesity_orlistat_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0036,runtime coverage,review,obesity_orlistat_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0037,runtime coverage,review,osahs_rhinitis_management,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0038,runtime coverage,review,painful_diabetic_polyneuropathy_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0039,runtime coverage,review,painful_diabetic_polyneuropathy_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0040,runtime coverage,review,painful_diabetic_polyneuropathy_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0041,runtime coverage,review,painful_diabetic_polyneuropathy_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0042,runtime coverage,review,premature_ovarian_insufficiency_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0043,runtime coverage,review,premature_ovarian_insufficiency_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0044,runtime coverage,review,premature_ovarian_insufficiency_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0045,runtime coverage,review,ra_symptom_control_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0046,runtime coverage,review,thyrotoxicosis_adult_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0047,runtime coverage,review,type2_diabetes_metformin_candidate,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0048,runtime coverage,review,vitamin_b12_deficiency_over16_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0049,runtime coverage,review,vitamin_b12_deficiency_over16_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0050,runtime coverage,review,wart_localized_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0051,runtime coverage,review,wart_localized_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0052,runtime coverage,review,wart_localized_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0053,runtime coverage,review,constipation_peds_rescue,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0054,runtime coverage,review,constipation_peds_rescue,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0055,runtime coverage,review,hemorrhoid_symptom_support_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0056,runtime coverage,review,hemorrhoid_symptom_support_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0057,runtime coverage,review,contraception_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0058,runtime coverage,review,contraception_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0059,runtime coverage,review,contraception_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0060,runtime coverage,review,hypertension_chronic_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0061,runtime coverage,review,hypertension_chronic_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0062,runtime coverage,review,bph_luts_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0063,runtime coverage,review,bph_luts_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0064,runtime coverage,review,cerumen_impaction_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0065,runtime coverage,review,cerumen_impaction_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0066,runtime coverage,review,iron_folate_supplement_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0067,runtime coverage,review,iron_folate_supplement_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0068,runtime coverage,review,vitamin_c_supplement_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0069,runtime coverage,review,chronic_antiplatelet_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0070,runtime coverage,review,chronic_antiplatelet_review_adult,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0071,runtime coverage,review,seizure_medication_continuation_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0072,runtime coverage,review,seizure_medication_continuation_review,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0073,runtime coverage,review,herbal_product_reference,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0074,runtime coverage,review,urinary_stone_support_reference,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0075,runtime coverage,review,urinary_stone_support_reference,index disease has no runtime RX or SWAP rows,keep indexed but require manual/regimen build if clinically important,OPEN
GAP_0076,clinical row cleaning,fixed,allergic_rhinitis_adult,Removed Elomet 0.1 % [Mometasone Furoate 1 mg/1 g (0.1%)] from Final_RX_NOW_v4_1: removed Elomet skin product from rhinitis; replaced with Nasonex nasal spray,removed from v5 runtime,FIXED
GAP_0077,clinical row cleaning,fixed,allergic_rhinitis_congestion_adult,Removed Elomet 0.1 % [Mometasone Furoate 1 mg/1 g (0.1%)] from Final_RX_NOW_v4_1: removed Elomet skin product from rhinitis; replaced with Nasonex nasal spray,removed from v5 runtime,FIXED
GAP_0078,clinical row cleaning,fixed,aphthous_ulcer_pain_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed skin cream from oral ulcer,removed from v5 runtime,FIXED
GAP_0079,clinical row cleaning,fixed,contact_lens_dry_eye_support_adult,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-ocular row from dry eye,removed from v5 runtime,FIXED
GAP_0080,clinical row cleaning,fixed,dry_eye_adult,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-ocular row from dry eye,removed from v5 runtime,FIXED
GAP_0081,clinical row cleaning,fixed,dry_eye_peds_support,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-ocular row from dry eye,removed from v5 runtime,FIXED
GAP_0082,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Klean & Kare Saline (ANB) [Sodium Chloride 0.9 g./100 ml.] from Final_RX_NOW_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0083,clinical row cleaning,fixed,dysuria_lower_uti_adult,"Removed Difflam รสน้ำผึ้งมะนาวผสมโพรโพลิส [2,4-Dichlorobenzyl alcohol 1.2 mg.+Amylmetacresol 0.6 mg.] from Final_RX_NOW_v4_1: removed URI modality from UTI/dysuria",removed from v5 runtime,FIXED
GAP_0084,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.] from Final_RX_NOW_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0085,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed LeoPovidone [Povidone-Iodine 10% w/v] from Final_RX_NOW_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0086,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Klean & Kare Saline (ANB) [Sodium Chloride 0.9 g./100 ml.] from Final_RX_NOW_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0087,clinical row cleaning,fixed,eczema_dry_pruritic_adult,"Removed Difflam รสน้ำผึ้งมะนาวผสมโพรโพลิส [2,4-Dichlorobenzyl alcohol 1.2 mg.+Amylmetacresol 0.6 mg.] from Final_RX_NOW_v4_1: removed URI modality from eczema/dermatitis",removed from v5 runtime,FIXED
GAP_0088,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.] from Final_RX_NOW_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0089,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed LeoPovidone [Povidone-Iodine 10% w/v] from Final_RX_NOW_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0090,clinical row cleaning,fixed,migraine_adult,Removed Difelene Gel เล็ก [Diclofenac diethylammonium 1.16 g./100 g (eq. to Diclofenac Sodium 1.0 g)] from Final_RX_NOW_v4_1: removed topical MSK analgesic from headache/migraine,removed from v5 runtime,FIXED
GAP_0091,clinical row cleaning,fixed,migraine_over12_acute,Removed Difelene Gel เล็ก [Diclofenac diethylammonium 1.16 g./100 g (eq. to Diclofenac Sodium 1.0 g)] from Final_RX_NOW_v4_1: removed topical MSK analgesic from headache/migraine,removed from v5 runtime,FIXED
GAP_0092,clinical row cleaning,fixed,oral_ulcer_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed skin cream from oral ulcer,removed from v5 runtime,FIXED
GAP_0093,clinical row cleaning,fixed,screen_related_dry_eye_adult,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-ocular row from dry eye,removed from v5 runtime,FIXED
GAP_0094,clinical row cleaning,fixed,tension_headache_adult,Removed Difelene Gel เล็ก [Diclofenac diethylammonium 1.16 g./100 g (eq. to Diclofenac Sodium 1.0 g)] from Final_RX_NOW_v4_1: removed topical MSK analgesic from headache/migraine,removed from v5 runtime,FIXED
GAP_0095,clinical row cleaning,fixed,tinea_corporis_localized_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0096,clinical row cleaning,fixed,tinea_cruris_adult,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0097,clinical row cleaning,fixed,tinea_cruris_adult,Removed Klean & Kare Saline (ANB) [Sodium Chloride 0.9 g./100 ml.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0098,clinical row cleaning,fixed,tinea_cruris_adult,"Removed Difflam รสน้ำผึ้งมะนาวผสมโพรโพลิส [2,4-Dichlorobenzyl alcohol 1.2 mg.+Amylmetacresol 0.6 mg.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease",removed from v5 runtime,FIXED
GAP_0099,clinical row cleaning,fixed,tinea_cruris_adult,Removed Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0100,clinical row cleaning,fixed,tinea_cruris_adult,Removed LeoPovidone [Povidone-Iodine 10% w/v] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0101,clinical row cleaning,fixed,tinea_cruris_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0102,clinical row cleaning,fixed,tinea_pedis_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0103,clinical row cleaning,fixed,tinea_pruritic_rash_adult,Removed Bakamol 500 mg bottle 100s [Paracetamol 500 mg.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0104,clinical row cleaning,fixed,tinea_pruritic_rash_adult,Removed Klean & Kare Saline (ANB) [Sodium Chloride 0.9 g./100 ml.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0105,clinical row cleaning,fixed,tinea_pruritic_rash_adult,"Removed Difflam รสน้ำผึ้งมะนาวผสมโพรโพลิส [2,4-Dichlorobenzyl alcohol 1.2 mg.+Amylmetacresol 0.6 mg.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease",removed from v5 runtime,FIXED
GAP_0106,clinical row cleaning,fixed,tinea_pruritic_rash_adult,Removed Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0107,clinical row cleaning,fixed,tinea_pruritic_rash_adult,Removed LeoPovidone [Povidone-Iodine 10% w/v] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0108,clinical row cleaning,fixed,tinea_pruritic_rash_adult,Removed Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g] from Final_RX_NOW_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0109,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Cystaline [Acetylcysteine 600 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0110,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Mucolid [Ambroxol HCl 30 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0111,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Bisolvon [Bromhexine HCl 8 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0112,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Bocytin Capsule [Carbocysteine 375 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0113,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Icolid (ควบคุมจำนวน) [Dextromethorphan HBr 15 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0114,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Alerest [Cetirizine dihydrochloride 10 mg.] from Final_SWAPS_Tiered_v4_1: removed unrelated UTI row,removed from v5 runtime,FIXED
GAP_0115,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Histatabs [Chlorpheniramine Maleate 4 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0116,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from UTI/dysuria,removed from v5 runtime,FIXED
GAP_0117,clinical row cleaning,fixed,dysuria_lower_uti_adult,Removed Actavia [Xylometazoline Hydrochloride 0.1% (1 mg./1 ml.)] from Final_SWAPS_Tiered_v4_1: removed unrelated UTI row,removed from v5 runtime,FIXED
GAP_0118,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Cystaline [Acetylcysteine 600 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0119,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Mucolid [Ambroxol HCl 30 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0120,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Bisolvon [Bromhexine HCl 8 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0121,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Bocytin Capsule [Carbocysteine 375 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0122,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Icolid (ควบคุมจำนวน) [Dextromethorphan HBr 15 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0123,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Histatabs [Chlorpheniramine Maleate 4 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0124,clinical row cleaning,fixed,eczema_dry_pruritic_adult,Removed Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.] from Final_SWAPS_Tiered_v4_1: removed URI modality from eczema/dermatitis,removed from v5 runtime,FIXED
GAP_0125,clinical row cleaning,fixed,fungal_intertrigo_adult,Removed Alerest [Cetirizine dihydrochloride 10 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0126,clinical row cleaning,fixed,tinea_corporis_clotrimazole_adult,Removed Alerest [Cetirizine dihydrochloride 10 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0127,clinical row cleaning,fixed,tinea_corporis_localized_adult,Removed Alerest [Cetirizine dihydrochloride 10 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0128,clinical row cleaning,fixed,tinea_corporis_localized_adult,Removed Fenafex 180 mg [Fexofenadine HCl 180 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0129,clinical row cleaning,fixed,tinea_corporis_localized_adult,Removed Aerius tabslet [Desloratadine 5 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0130,clinical row cleaning,fixed,tinea_corporis_localized_adult,Removed Muscort Cream [Menthol 5.44%+Methyl Salicylate 10.12%+Eugenol 1.36%] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0131,clinical row cleaning,fixed,tinea_cruris_adult,Removed Cystaline [Acetylcysteine 600 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0132,clinical row cleaning,fixed,tinea_cruris_adult,Removed Mucolid [Ambroxol HCl 30 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0133,clinical row cleaning,fixed,tinea_cruris_adult,Removed Bisolvon [Bromhexine HCl 8 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0134,clinical row cleaning,fixed,tinea_cruris_adult,Removed Bocytin Capsule [Carbocysteine 375 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0135,clinical row cleaning,fixed,tinea_cruris_adult,Removed Icolid (ควบคุมจำนวน) [Dextromethorphan HBr 15 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0136,clinical row cleaning,fixed,tinea_cruris_adult,Removed Alerest [Cetirizine dihydrochloride 10 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0137,clinical row cleaning,fixed,tinea_cruris_adult,Removed Histatabs [Chlorpheniramine Maleate 4 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0138,clinical row cleaning,fixed,tinea_cruris_adult,Removed Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0139,clinical row cleaning,fixed,tinea_cruris_adult,Removed Actavia [Xylometazoline Hydrochloride 0.1% (1 mg./1 ml.)] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0140,clinical row cleaning,fixed,tinea_cruris_adult,Removed Fenafex 180 mg [Fexofenadine HCl 180 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
GAP_0141,clinical row cleaning,fixed,tinea_cruris_adult,Removed Aerius tabslet [Desloratadine 5 mg.] from Final_SWAPS_Tiered_v4_1: removed non-antifungal/URI/steroid row from fungal disease,removed from v5 runtime,FIXED
