coverage_id,product_id,generic_name,drug_name,evidence_needed,source_targets,final_status,next_action
coverage_912492deb84e,BDS004035,,Vislube [Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.)],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_a2bf3974c960,BDS001552,,Cellufresh [Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_a78f672fa923,BDS003679,,Systane Ultra Lubricant Eye Drops [Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%)],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_74064f78185b,BDS004035,,Vislube [Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.)],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_f59d5d647f6d,BDS001552,,Cellufresh [Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_d0b7ef843c82,BDS003679,,Systane Ultra Lubricant Eye Drops [Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%)],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_77a28b29d6c0,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_8f31274a4463,BDS006745,,Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_a13936621f17,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_f89760fadf3b,BDS006745,,Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_7cad2b814a05,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_66731599faf3,BDS006745,,Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_3cd0df51ba8a,BDS001057,,Aristocort 0.02% [Triamcinolone Acetonide 0.02%],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_8fda9494a3e1,BDS001682,,Diabederm Urea Cream 10% [10% Urea],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_f2516e17ac3b,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_e2ed6f1f9f96,BDS001057,,Aristocort 0.02% [Triamcinolone Acetonide 0.02%],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_21ac91d447bc,BDS001682,,Diabederm Urea Cream 10% [10% Urea],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_665cf0cefe4b,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_fab9d5274cf7,BDS001057,,Aristocort 0.02% [Triamcinolone Acetonide 0.02%],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_e806da86d51f,BDS001682,,Diabederm Urea Cream 10% [10% Urea],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,usable_with_warning_source_partial,attach accepted source before marking ready
coverage_a758794be11d,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_278d73953af0,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_f684f71b970b,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_f3166b8f088f,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_23d454fccfaa,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_9af0074c9f42,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_4f1a69e46d02,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_93e6b57eb717,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_788d9576aa76,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_9a55daabbb86,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_61961606a303,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_f2deb7cfad3c,BDS008034,,Berclomine Syrup [Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_ac5a48ff757c,BDS001013,,Air-X Drops [Simethicone 40 mg./0.6 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_e8311eec44e2,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_aaea79565da4,BDS001248,,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_0e99ba6b455f,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_ac556b9ae9af,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_dc390062946d,BDS001248,,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_0bccc3ef51de,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_bc6c9daf2874,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_e3ba2382d8db,BDS001248,,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_5e23f2542e34,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_bb0ca49286be,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_416b417f9e65,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_2ca6730e5a96,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_5676e19400d9,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_5aaf373b49ae,BDS008282,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_32eef568a37e,BDS002108,,Hidrasec Paediatric 30 mg [Racecadotril 30 mg.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_ef30b3248670,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_94648aad875c,BDS044320,,Klean & Kare Saline เล็ก [Sodium Chloride 0.9 g./100 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_21557904b323,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_4ac4a5030eea,BDS044320,,Klean & Kare Saline เล็ก [Sodium Chloride 0.9 g./100 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_c89f0d2480b7,BDS004212,,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_884da32fbcf0,BDS044320,,Klean & Kare Saline เล็ก [Sodium Chloride 0.9 g./100 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_7bcb2c9b1275,BDS002691,,Mucolid Junior บลูเบอร์รี่ [Ambroxol HCl 15 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_7829891b4d52,BDS003763,,Tylenol Suspension [Paracetamol 160 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_3d546166abc0,BDS001257,,Bisolvon EX Syrup เล็ก [Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_826f54202629,BDS043123,,Facil 100 [Acetylcysteine 100 mg./5 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_cd54c9cfce4c,BDS002691,,Mucolid Junior บลูเบอร์รี่ [Ambroxol HCl 15 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_423873bb8775,BDS003763,,Tylenol Suspension [Paracetamol 160 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_67f0ff945925,BDS001257,,Bisolvon EX Syrup เล็ก [Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_4e86d65305d0,BDS043123,,Facil 100 [Acetylcysteine 100 mg./5 g.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_707232b4b60e,BDS002691,,Mucolid Junior บลูเบอร์รี่ [Ambroxol HCl 15 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_3200955fc67c,BDS003763,,Tylenol Suspension [Paracetamol 160 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
coverage_0dc1ae45e020,BDS001257,,Bisolvon EX Syrup เล็ก [Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.],concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,Thai Pediatric Society; Thai MOPH; WHO EMLc; CDC/AAP/NICE if accessible; user-provided textbook,blocked_source_missing,attach accepted source evidence
