coverage_id,sheet_name,row_number,product_id,regimen_id,disease_key,disease_name,complaint_key,generic_name,drug_name,composition,BDS,sig,duration,route,form,pediatric_flag,antibiotic_flag,high_risk_flag,current_readiness,current_source_status,exact_evidence_needed,minimum_source_type,source_priority,final_status,final_reason,next_action
coverage_2c5162231aa0,2_Regimen_Master_Export,12,BDS002655,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0003,,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_cde0511544c4,2_Regimen_Master_Export,13,BDS002901,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0003,,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_edf8bfafd9fa,2_Regimen_Master_Export,14,BDS003762,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0004,,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_80a5276b7004,2_Regimen_Master_Export,15,BDS045630,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0004,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_3edaf652b916,2_Regimen_Master_Export,16,BDS002655,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0004,,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_8a3faeab05b9,2_Regimen_Master_Export,17,BDS002901,FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,CI0004,,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,,,False,False,True,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,1,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_d4f3768549d2,2_Regimen_Master_Export,18,BDS003762,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_8f8b744d2280,2_Regimen_Master_Export,19,BDS004213,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_ad34506c1c0d,2_Regimen_Master_Export,20,BDS008282,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_5426448a3973,2_Regimen_Master_Export,21,BDS001248,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],Lyophilized Saccharomyces boulardii 250 mg.,BDS001248,1 sachet PO BID,3 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_fab28dfee783,2_Regimen_Master_Export,22,BDS042304,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Dehecta [Dioctahedral Smectite 3 g./20 ml.],Dioctahedral Smectite 3 g./20 ml.,BDS042304,1 sachet PO TID–QID,2 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_ff048f19f1f2,2_Regimen_Master_Export,23,BDS043842,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Hidrasec 100 mg. [Racecadotril 100 mg.],Racecadotril 100 mg.,BDS043842,1 cap PO q8h,2–3 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_e6b574c585a8,2_Regimen_Master_Export,24,BDS045630,FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,CI0005,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_de9668277072,2_Regimen_Master_Export,25,BDS008282,FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,CI0006,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_2f266f31419c,2_Regimen_Master_Export,26,BDS001248,FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,CI0006,,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],Lyophilized Saccharomyces boulardii 250 mg.,BDS001248,1 sachet PO BID,3 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_fe9a8e1bcf90,2_Regimen_Master_Export,27,BDS042304,FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,CI0006,,Dehecta [Dioctahedral Smectite 3 g./20 ml.],Dioctahedral Smectite 3 g./20 ml.,BDS042304,1 sachet PO TID–QID,2 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_268a82cd1a3a,2_Regimen_Master_Export,28,BDS043842,FRM0004,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,CI0006,,Hidrasec 100 mg. [Racecadotril 100 mg.],Racecadotril 100 mg.,BDS043842,1 cap PO q8h,2–3 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_19cf4d651bb9,2_Regimen_Master_Export,29,BDS003762,FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,CI0007,,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_3c2f0a960232,2_Regimen_Master_Export,30,BDS004213,FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,CI0007,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_7c141ddfc2e2,2_Regimen_Master_Export,31,BDS006745,FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,CI0007,,Antergan Cream [Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g],Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,BDS006745,apply thinly BID–TID to itchy rash,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_a3fcf7b121c8,2_Regimen_Master_Export,32,BDS003747,FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,CI0007,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_6a538ae4ffe9,2_Regimen_Master_Export,33,BDS045630,FRM0005,uri_rash_adult,Acute viral URI with viral/allergic rash,CI0007,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_e3b151ac30ff,2_Regimen_Master_Export,34,BDS003762,FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,CI0008,,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_8b4add7a770d,2_Regimen_Master_Export,35,BDS002411,FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,CI0008,,Kamillosan-M Spray [ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล],ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,BDS002411,2 sprays to mouth/throat TID,5 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_b0ba18703619,2_Regimen_Master_Export,36,BDS006462,FRM0006,sore_throat_adult,Acute sore throat / pharyngeal irritation,CI0008,,Difflam Forte Spray [Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.],Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,BDS006462,2–4 sprays to throat PRN,5 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_3691f525ab2b,2_Regimen_Master_Export,37,BDS004035,FRM0007,dry_eye_adult,Symptomatic dry eye syndrome,CI0009,,Vislube [Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.)],Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),BDS004035,1–2 drops OU / affected eye PRN,7 days,,,False,False,True,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,1,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_294b82465f70,2_Regimen_Master_Export,38,BDS001552,FRM0007,dry_eye_adult,Symptomatic dry eye syndrome,CI0009,,Cellufresh [Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide],Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,BDS001552,1–2 drops OU / affected eye PRN,7 days,,,False,False,True,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,1,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_c3a94042b545,2_Regimen_Master_Export,39,BDS008282,FRM0008,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),CI0010,,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; small frequent sips,1–2 days,,,True,False,True,manual_review_required,pending_manual_review,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,accepted guideline/source with snippet,1,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_94815ca62eaa,2_Regimen_Master_Export,40,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0011,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_ecee5e80294a,2_Regimen_Master_Export,41,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0011,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_fef2ef0717f7,2_Regimen_Master_Export,42,BDS003747,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0011,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_2c402da9fba9,2_Regimen_Master_Export,43,BDS045630,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0011,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_7d13a3e0ecf5,2_Regimen_Master_Export,44,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0012,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_3447d3eb23f9,2_Regimen_Master_Export,45,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0012,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_ad35154d0dbd,2_Regimen_Master_Export,46,BDS003747,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0012,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_86669fea185e,2_Regimen_Master_Export,47,BDS045630,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0012,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_7b7f75bbf5c4,2_Regimen_Master_Export,48,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0013,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_f49acef2f16d,2_Regimen_Master_Export,49,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0013,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
coverage_e2081f52c183,2_Regimen_Master_Export,50,BDS003747,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0013,,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_db2278fe5407,2_Regimen_Master_Export,51,BDS045630,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0013,,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_e0692e665847,2_Regimen_Master_Export,52,BDS004213,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0014,,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,,,False,False,False,usable_with_warning,source_gap,disease_strategy_source,accepted guideline/source with snippet,3,usable_with_warning_source_partial,low-risk/supportive row has partial or pending source context,attach accepted source before marking ready
coverage_5f284b1067ce,2_Regimen_Master_Export,53,BDS002805,FRM0001,allergic_rhinitis_adult,Allergic rhinitis,CI0014,,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,,,False,False,False,manual_review_required,pending_manual_review,disease_strategy_source,accepted guideline/source with snippet,3,blocked_source_missing,product manual review; verified guideline source,attach accepted source evidence
