id,name,genericGroup,composition,status,reason
BDS007976,Roxitop 300 (10 tabs),Roxithromycin,Roxithromycin 300 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003428,Rulid 150 mg (10 tabs),Roxithromycin,Roxithromycin 150 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007007,Uramox 500 (10 cap),Amoxicillin,Amoxicillin 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049776,Zithromax tabslet 250 mg (6 tabs),Azithromycin,Azithromycin 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040614,Bakamol 500 mg bottle 100s (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS007047,Cemol 500 mg bottle 100s ฟ้า-ขาว (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS007041,Cemol 500 mg bottle 100s เม็ดกลม (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS046505,Panadol Actifast (10 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS003109,Para Cap bottle 100s (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS003595,Sara เม็ดรี กระปุก 100s (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS003764,Tylenol 500 mg bottle 100s (100 tabs),Paracetamol,Paracetamol 500 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS003748,Tylenol 8 Hour (10 tabs),Paracetamol,Paracetamol 650 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS001010,Aerius tabslet (10 tabs),Desloratadine,Desloratadine 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040029,Alerest (10 tabs),Cetirizine dihydrochloride,Cetirizine dihydrochloride 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007702,Allerax-FC (10 tabs),Hydroxyzine HCl,Hydroxyzine HCl 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040033,Allernix (10 tabs),Loratadine,Loratadine 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040028,Allora 5 mg (10 tabs),Desloratadine,Desloratadine 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040630,Bilaxten (10 tabs),Bilastine,Bilastine 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS041454,Carinose (10 tabs),Micronized Loratadine,Micronized Loratadine 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS041510,Clarid (10 tabs),Loratadine,Loratadine (Micronized) 10 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS041499,Clarityne (5 tabs),Micronized loratadine,Micronized loratadine 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001978,Fenafex 180 mg (10 tabs),Fexofenadine HCl,Fexofenadine HCl 180 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001953,Fenafex 60 mg (10 tabs),Fexofenadine HCl,Fexofenadine HCl 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007975,Fexotine (10 tabs),Fexofenadine HCl,Fexofenadine HCl 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007145,Histatabs (100 tabs),Chlorpheniramine Maleate,Chlorpheniramine Maleate 4 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008701,Hydrox-25 (10 tabs),Hydroxyzine HCl,Hydroxyzine HCl 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044553,Levocet (10 tabs),Levocetirizine dihydrochloride,Levocetirizine dihydrochloride 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006046,Loreze (10 cap),Loratadine,Loratadine 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008241,Manotabs (10 tabs),Cyproheptadine HCI,Cyproheptadine HCI 4 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003427,Montek 10 mg (7 tabs),Montelukast Sodium,Montelukast Sodium 10.4 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044924,Montulair 10 mg (10 tabs),Montelukast,Montelukast 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS045630,Nasotapp (10 tabs),brompheniramine + phenylephrine,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047430,Rhinotapp (10 tabs),Brompheniramine Maleate + Phenylephrine HCl,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003511,Singulair 10 mg 7s (7 tabs),Montelukast Sodium,Montelukast Sodium 10.4 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047722,Singulair 5 mg Box 28s (4 blister),Montelukast Sodium,Montelukast Sodium 5.2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047643,Singulair Granules 4 mg (28 sachets),Montelukast Sodium,Montelukast Sodium 4.2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003575,Sinufen (10 tabs),Brompheniramine Maleate + Phenylephrine HCl,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008481,Sominar (10 tabs),Doxylamine Succinate,Doxylamine Succinate 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003562,Sulidine CP (10 tabs),Chlorpheniramine maleate + Phenylephrine hydrochloride,Chlorpheniramine maleate 4.0 mg.+Phenylephrine hydrochloride 10.0 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003747,Telfast 180 mg (10 tabs),fexofenadine,Fexofenadine HCl 180 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003769,Telfast 60 mg (10 tabs),Fexofenadine HCl,Fexofenadine HCl 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049255,Vifas 180 mg. (10 tabs),Fexofenadine HCl,Fexofenadine HCl 180 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049254,Vifas 60 mg. (10 tabs),Fexofenadine HCl,Fexofenadine HCl 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004130,Xyzal 5 mg (10 tabs),Levocetirizine dihydrochloride,Levocetirizine dihydrochloride 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007691,Zatifen (10 tabs),Ketotifen,Ketotifen 1 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004224,Zensil (10 tabs),Cetirizine dihydrochloride,Cetirizine dihydrochloride 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049778,Zirin (10 cap),Cetirizine dihydrochloride,Cetirizine dihydrochloride 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004213,Zyrtec (10 tabs),cetirizine,Cetirizine dihydrochloride 10 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS008754,Zytizine F/C tabslet (10 tabs),Cetirizine dihydrochloride,Cetirizine dihydrochloride 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001008,Chlophe (10 tabs),Chlorpheniramine Maleate,Chlorpheniramine Maleate 2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS041504,Chlorpheniramine 2 mg. (10 tabs),Chlorpheniramine Maleate,Chlorpheniramine Maleate 2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001255,Bisolvon (10 tabs),bromhexine,Bromhexine HCl 8 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS008141,Bocytin Capsule (10 cap),Carbocysteine,Carbocysteine 375 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001531,Cystaline (10 tabs),Acetylcysteine,Acetylcysteine 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS043123,Facil 100 (5 g.),acetylcysteine sachet,Acetylcysteine 100 mg./5 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS043124,Facil 200 (3 g.),Acetylcysteine,Acetylcysteine 200 mg./3 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001937,Flemex Foil (10 tabs),Carbocysteine,Carbocysteine 375 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS043121,Flemex-AC OD (2 tabs),Acetylcysteine,Acetylcysteine 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001936,Fluimucil A 200 mg (3 g.),Acetylcysteine,Acetylcysteine 200 mg./3 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001909,Fluimucil A 600 mg (2 tabs),Acetylcysteine,Acetylcysteine 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002574,Muclear tabslet (10 tabs),Acetylcysteine,Acetylcysteine 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002655,Mucolid (10 tabs),ambroxol,Ambroxol HCl 30 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS002640,Mucolid SF 600 (7 g.),Acetylcysteine,Acetylcysteine 600 mg./7 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008135,Muco-Sea 200 (3 g.),Acetylcysteine,Acetylcysteine 200 mg./3 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002643,Mucosolvan (10 tabs),Ambroxol HCl,Ambroxol HCl 30 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002639,Mucosolvan PL (10 cap),Ambroxol HCl,Ambroxol HCl 75 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002901,Nac Long (10 tabs),acetylcysteine,Acetylcysteine 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003694,Solmax (10 cap),Carbocysteine,Carbocysteine 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001664,Dulcolax (10 tabs),Bisacodyl,Bisacodyl 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001715,Duphalac 100 (100 ml.),Lactulose,Lactulose 66.7 g/100 ml,no_peds_reference,no pediatric reference and no parseable concentration
BDS001837,Emulax (100 tabs),Bisacodyl,Bisacodyl 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001842,Forlax (10 g.),Macrogol 4000 + Orange-grapefruit,Macrogol 4000 10 g.+ Saccharin sodium 0.017 g.+ Orange-grapefruit flavour 0.15 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003505,Fybogel Orange (3.5 g.),Ispaghula Husk,Ispaghula Husk 3.5 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002128,Hepalac (100 ml.),Lactulose + Galactose + Lactose,Lactulose 66.7 g+Galactose 11 g+Lactose 6 g/100 ml,no_peds_reference,no pediatric reference and no parseable concentration
BDS008461,Milk of Magnesia C.B. (240 ml.),Magnesium Hydroxide,Magnesium Hydroxide 400 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002697,Mucilin Orange Flavour (5 g.),Ispaghula Husk,Ispaghula Husk 49.0 g./100 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002699,Mucilin Orange SF (5 g.),Ispaghula Husk,Ispaghula Husk 3.5 g./5 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003611,Senokot (60 tabs),Sennoside,Sennoside 7.5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003613,Senolax (60 tabs),Sennoside B,Sennoside B 7.5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004866,น้ำมันละหุ่งหวาน (60 ml.),Amyl Acetate + Alcohol,Saccharin 0.006 g+Amyl Acetate 0.037 g+Alcohol 0.45 ml+Castor Oil/15 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002214,Imodium (6 cap),Loperamide HCl,Loperamide HCl 2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008703,Tedium (10 cap),Loperamide,Loperamide 2 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001036,Algycon (12 tabs),Alginic acid + Aluminium hydroxide gel + Magnesium carbonate,Alginic acid 200 mg.+Aluminium hydroxide gel 30 mg.+Magnesium carbonate 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001051,Antacil (10 tabs),Aluminium Hydroxide + Magnesium Trisilicate + Kaolin,Aluminium Hydroxide (Dried Aluminium Hydroxide 250 mg.)+Magnesium Trisilicate 350 mg.+Kaolin 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002030,Gastro Bismol 524 (10 tabs),Bismuth Subsalicylate,Bismuth Subsalicylate 524 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002011,Gaviscon Dual Action tabslet 16s (16 tabs),Sodium alginate + Sodium bicarbonate + Calcium carbonate,Sodium alginate 250 mg.+Sodium bicarbonate 106.5 mg.+Calcium carbonate 187.5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002015,Gaviscon Peppermint tabslet 16s (16 tabs),Sodium alginate + Sodium bicarbonate + Calcium Carbonate,Sodium alginate 250 mg.+Sodium bicarbonate 133.5 mg.+Calcium Carbonate 80 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044334,Kremil tabslet (10 tabs),AHMC Type F-MA II ( Aluminum Hydroxide + Magnesium Carbonate ) + Simethicone,AHMC Type F-MA II 325 mg ( Aluminum Hydroxide 188.8 mg + Magnesium Carbonate 136.2 mg ) + Simethicone 60 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS044908,Malugel tabslets (10 tabs),Calcium Carbonate + Simethicone,Calcium Carbonate 500 mg+Simethicone 60 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS003903,Ulcefate tabslet strip 10s (10 tabs),Sucralfate,Sucralfate 1 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001466,Controloc 40 mg (14 tabs),Pantoprazole,Pantoprazole 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007108,Dosate 20 mg (10 cap),Omeprazole,Omeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002629,Miracid (14 cap),Omeprazole,Omeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003417,Mucosta tabs (10 tabs),Rebamipide,Rebamipide 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002898,Nexium 20 mg (14 tabs),Esomeprazole,Esomeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002903,Nexium 40 mg (14 tabs),Esomeprazole,Esomeprazole 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS045613,Nycacid (10 cap),Omeprazole,Omeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003065,Ocid (10 cap),Omeprazole,Omeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006714,Omeprazole 20 mg (GPO) (10 cap),Omeprazole,Omeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003138,Pariet 20 mg (14 tabs),Rabeprazole,Rabeprazole 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003110,Prevacid FDT 30 (14 tabs),Lansoprazole,Lansoprazole 30 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047441,Rabeprazole Sandoz 20 mg (14 tabs),Rabeprazole Sandoz,Rabeprazole Sandoz 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003527,Siamidine 400 mg (10 tabs),Cimetidine,Cimetidine 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007181,Leftose (10 tabs),Lysozyme chloride,Lysozyme chloride 30 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS046509,Proctase-P (10 cap),Proctase + Pancreatin,Proctase 10 mg+Pancreatin 50 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS008607,Durasal-CR 4 mg (10 cap),Salbutamol,Salbutamol 4 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002616,Meptin 50 (10 tabs),Procaterol HCl,Procaterol HCl 50 mcg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002617,Meptin Mini 25 (10 tabs),Procaterol HCl,Procaterol HCl 25 mcg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002844,Nuelin SR (20 tabs),Theophylline,Theophylline 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003708,Terbuhim (10 tabs),Terbutaline sulfate,Terbutaline sulfate 2.5 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS042329,Doiz 50 mg (10 tabs),Itopride hydrochloride,Itopride hydrochloride 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007106,Domperdone (10 tabs),Domperidone,Domperidone 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002048,Ganaton (10 tabs),Itopride Hydrochloride,Itopride Hydrochloride 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006250,Gasmotin tabslets (10 tabs),Mosapride citrate,Mosapride citrate 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044921,Mirax-M (10 tabs),Domperidone,Domperidone 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006639,Molax-M (10 tabs),Domperidone,Domperidone 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002636,Motilium-M (10 tabs),Domperidone,Domperidone 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS046502,Patilum (10 tabs),Domperidone,Domperidone 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001079,Air-X 120 (10 tabs),simethicone,Simethicone 120 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS006054,Gogaz (10 cap),simethicone,Simethicone 200 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS008682,Pudin Hara (10 cap),Peppermint Oil + Spearmint Oil,Peppermint Oil 150 mg.+Spearmint Oil 30 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047683,Soda Mint (10 tabs),Sodium bicarbonate + Peppermint Oil,Sodium bicarbonate 300 mg+Peppermint Oil 0.003 ml,no_peds_reference,no pediatric reference and no parseable concentration
BDS003910,V-Cap (10 cap),Simethicone,Simethicone 150 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS040602,Biozole 150 mg (1 cap),fluconazole,Fluconazole 150 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007128,Funa 200 mg (1 cap),Fluconazole,Fluconazole 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007572,J.V.Nazole (10 tabs),Ketoconazole,Ketoconazole 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002826,Ninazol T.O. (10 tabs),Ketoconazole,Ketoconazole 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS045631,Nyst Oral (12 ml.),nystatin oral,"Nystatin 100,000 Unit/1 ml.",calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003653,Spornar (10 cap),Itraconazole,Itraconazole 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008064,Acyvir 400 mg (5 tabs),acyclovir,Acyclovir 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008065,Acyvir 800 mg (5 tabs),acyclovir,Acyclovir 800 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007782,Clinovir 200 mg (5 tabs),Acyclovir,Acyclovir 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007783,Clinovir 400 mg (5 tabs),Acyclovir,Acyclovir 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007781,Clinovir 800 mg (5 tabs),Acyclovir,Acyclovir 800 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004019,Vilerm 200 mg 5s (5 tabs),Acyclovir,Acyclovir 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004086,Vilerm 400 mg 5s (5 tabs),Acyclovir,Acyclovir 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004011,Vilerm 800 mg 5s (5 tabs),Acyclovir,Acyclovir 800 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001230,Benda 500 (1 tab),Mebendazole,Mebendazole 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001227,Benda 500 กลิ่นเลมอน (1 tab),Mebendazole,Mebendazole 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001927,Fugacar 500 รสผลไม้ (1 tab),Mebendazole,Mebendazole 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS042304,Dehecta (20 ml.),dioctahedral smectite,Dioctahedral Smectite 3 g./20 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007122,Deltacarbon (10 tabs),Medicinal Charcoal,Medicinal Charcoal 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS045666,Ny-C-Bon (10 cap),Activated Charcoal,Activated Charcoal 260 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003546,Smecta (3 g.),Dioctahedral Smectite,Dioctahedral Smectite 3 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003912,Dacin-F 300 (10 cap),Clindamycin,Clindamycin 300 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007723,Doxylcap (10 cap),Doxycycline Hyclate,Doxycycline Hyclate (eq. to Doxycycline 100 mg.),no_peds_reference,no pediatric reference and no parseable concentration
BDS044901,Metrolex 400 mg (10 tabs),Metronidazole,Metronidazole 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007193,Metronidazole 400 (10 tabs),Metronidazole,Metronidazole 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007911,Dibendryl (10 tabs),Diphenhydramine,Diphenhydramine 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002211,Icolid (ควบคุมจำนวน) (10 tabs),dextromethorphan,Dextromethorphan HBr 15 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001046,AMK 228 (70 ml.),amoxicillin clavulanate syrup,Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001047,AMK 457 (70 ml.),amoxicillin clavulanate syrup,Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001056,Augmentin 457 mg (70 ml.),Amoxicillin + Clavulanic Acid,Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001054,Augmentin ES (50 ml.),Amoxicillin + Clavulanic Acid,Amoxicillin 600 mg.+Clavulanic Acid 42.9 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001084,Azith Oral Suspension (15 ml.),Azithromycin,Azithromycin 200 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001441,Cefspan Suspension (30 ml.),Cefixime,Cefixime 100 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002206,Ibilex Syrup (60 ml.),Cephalexin,Cephalexin 125 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002693,Meiact Fine Granules (0.5 g.),Cefditoren,Cefditoren 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007586,Newtamox For Oral Suspension (60 ml.),Amoxicillin,Amoxicillin 125 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007589,Newthrocin (60 ml.),Erythromycin,Erythromycin 125 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS046209,Onzet Oral Suspension (15 ml.),Azithromycin,Azithromycin 200 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003549,Sia-Mox Syrup 125 mg (60 ml.),Amoxicillin,Amoxicillin 125 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003550,Sia-Mox Syrup 250 mg (60 ml.),Amoxicillin,Amoxicillin 250 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007682,Xalin Dry Syrup 125 mg (60 ml.),Cloxacillin,Cloxacillin 125 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS004225,Zithromax Dry 200 mg (15 ml.),Azithromycin,Azithromycin 200 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
